NIPA_Line,Description,Direct,Indirect,Total
195,Auto leasing,0.0,0.00040825028071852425,0.00040825028071852425
296,Day care and nursery schools,0.0,0.00040238475495084873,0.00040238475495084873
329,"Moving, storage, and freight services",0.0,0.00039738103666983214,0.00039738103666983214
322,Community food and housing / emergency / other relief services,0.0,0.00038870446253017494,0.00038870446253017494
301,Tax preparation and other related services,0.0,0.0003778944184817911,0.0003778944184817911
37,Outdoor equipment and supplies,0.00019409393034347077,0.00016372756405194476,0.00035782149439541553
321,Vocational rehabilitation services,0.0,0.00035147828219309394,0.00035147828219309394
204,Taxicabs and ride sharing services,0.0,0.000330339017387654,0.000330339017387654
58,Pleasure aircraft,0.00021059402493638915,0.0001194104084726402,0.0003300044334090294
279,Net motor vehicle and other transportation insurance,0.0,0.00031538321280362376,0.00031538321280362376
60,Recreational books,1.7268255676679694e-06,0.00030889279458421316,0.0003106196201518811
215,"Live entertainment, excluding sports",0.0,0.00030780827414730974,0.00030780827414730974
222,"Repair and rental of audio-visual, photographic, and information processing equipment",0.0,0.0003051904479694145,0.0003051904479694145
216,Spectator sports,0.0,0.00029863740676913306,0.00029863740676913306
239,Elementary and secondary school lunches,0.0,0.0002952876057317165,0.0002952876057317165
232,Package tours,0.0,0.0002951738969113811,0.0002951738969113811
284,"Land-line telephone services, long-distance charges",0.0,0.0002783249364225168,0.0002783249364225168
319,Residential mental health and substance abuse,0.0,0.00026345585486715726,0.00026345585486715726
196,Truck leasing,0.0,0.00025622480192581795,0.00025622480192581795
312,Laundry and drycleaning services,0.0,0.0002524236878173541,0.0002524236878173541
197,Motor vehicle rental,0.0,0.000247051550440204,0.000247051550440204
217,Museums and libraries,0.0,0.00023631535168607058,0.00023631535168607058
303,Other personal business services,4.7095242754580996e-07,0.0002350222635572713,0.00023549321598481708
233,Maintenance and repair of recreational vehicles and sports equipment,1.3568320092268547e-05,0.00021955437765435847,0.00023312269774662702
135,Sewing items,0.00018878016869782282,2.8785235382060132e-05,0.00021756540407988294
304,Labor organization dues,0.0,0.00021329491678814878,0.00021329491678814878
324,Social advocacy and civic and social organizations,0.0,0.00021148134133196927,0.00021148134133196927
288,Other delivery services (by non-U.S. postal facilities),0.0,0.00021020759225148214,0.00021020759225148214
331,Repair of household appliances,0.0,0.0002069269658699176,0.0002069269658699176
161,Owner-occupied mobile homes,0.0,0.00019954708311846727,0.00019954708311846727
244,Meals at drinking places,0.0,0.00018370077271741828,0.00018370077271741828
221,Photo studios,0.0,0.00018350094451183025,0.00018350094451183025
51,"Calculators, typewriters, and other information processing equipment",0.0001448275815880157,1.89610001280999e-05,0.0001637885817161156
305,Professional association dues,0.0,0.00016239184974662488,0.00016239184974662488
111,Standard clothing issued to military personnel,0.0001476181272506321,2.3421693560566966e-06,0.0001499602966066888
