NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
239,Elementary and secondary school lunches,20,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Meals and nonalcoholic beverages,Meals at schools,Elementary and secondary school lunches,,,143
240,Higher education school lunches,20,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Meals and nonalcoholic beverages,Meals at schools,Higher education school lunches,,,144
242,Meals at limited service eating places,20,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Meals and nonalcoholic beverages,Other purchased meals,Meals at limited service eating places,,,145
243,Meals at other eating places,20,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Meals and nonalcoholic beverages,Other purchased meals,Meals at other eating places,,,146
244,Meals at drinking places,20,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Meals and nonalcoholic beverages,Other purchased meals,Meals at drinking places,,,147
245,Alcohol in purchased meals,14,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Purchased meals and beverages,Alcohol in purchased meals,,,,,148
246,Food furnished to employees (including military),12,Services,Household consumption expenditures (for services),Food services and accommodations,Food services,Food furnished to employees (including military),,,,,,149
250,Hotels and motels,12,Services,Household consumption expenditures (for services),Food services and accommodations,Accommodations,Hotels and motels,,,,,,150
251,Housing at schools,12,Services,Household consumption expenditures (for services),Food services and accommodations,Accommodations,Housing at schools,,,,,,151
255,Commercial banks,14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,Financial services furnished without payment,Commercial banks,,,,,152
256,Other depository institutions and regulated investment companies,14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,Financial services furnished without payment,Other depository institutions and regulated investment companies,,,,,153
257,Pension funds,14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,Financial services furnished without payment,Pension funds,,,,,154
259,Financial service charges and fees,14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Financial service charges and fees,,,,,155
262,Exchange-listed equities,20,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Securities commissions,Direct commissions,Exchange-listed equities,,,156
263,Other direct commissions,20,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Securities commissions,Direct commissions,Other direct commissions,,,157
265,Over-the-counter equity securities,20,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Securities commissions,Indirect commissions,Over-the-counter equity securities,,,158
266,Other imputed commissions,20,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Securities commissions,Indirect commissions,Other imputed commissions,,,159
267,Mutual fund sales charges,16,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Securities commissions,Mutual fund sales charges,,,,160
268,Portfolio management and investment advice services,14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions",Portfolio management and investment advice services,,,,,161
269,"Trust, fiduciary, and custody activities",14,Services,Household consumption expenditures (for services),Financial services and insurance,Financial services,"Financial service charges, fees, and commissions","Trust, fiduciary, and custody activities",,,,,162
271,Life insurance,12,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Life insurance,,,,,,163
272,Net household insurance,12,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Net household insurance,,,,,,164
276,Medical care and hospitalization,14,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Net health insurance,Medical care and hospitalization,,,,,165
277,Income loss,14,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Net health insurance,Income loss,,,,,166
278,Workers' compensation,14,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Net health insurance,Workers' compensation,,,,,167
279,Net motor vehicle and other transportation insurance,12,Services,Household consumption expenditures (for services),Financial services and insurance,Insurance,Net motor vehicle and other transportation insurance,,,,,,168
283,"Land-line telephone services, local charges",14,Services,Household consumption expenditures (for services),Other services,Communication,Telecommunication services,"Land-line telephone services, local charges",,,,,169
284,"Land-line telephone services, long-distance charges",14,Services,Household consumption expenditures (for services),Other services,Communication,Telecommunication services,"Land-line telephone services, long-distance charges",,,,,170
285,Cellular telephone services,14,Services,Household consumption expenditures (for services),Other services,Communication,Telecommunication services,Cellular telephone services,,,,,171
287,First-class postal service (by U.S. Postal Service),14,Services,Household consumption expenditures (for services),Other services,Communication,Postal and delivery services,First-class postal service (by U.S. Postal Service),,,,,172
