Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Ireland,4572.0,7304316050,73,7304316050,331110,331110,direct_2022
Italy,2096063.0,7304316050,73,7304316050,331110,331110,direct_2022
Finland,5854.0,7304390002,73,7304390002,331110,331110,direct_2022
France,2965.0,7304390002,73,7304390002,331110,331110,direct_2022
Germany,30634.0,7304390002,73,7304390002,331110,331110,direct_2022
Germany,495082.0,7304390004,73,7304390004,331110,331110,direct_2022
Italy,177121.0,7304390004,73,7304390004,331110,331110,direct_2022
Germany,2495679.0,7304390006,73,7304390006,331110,331110,direct_2022
Italy,21339.0,7304390006,73,7304390006,331110,331110,direct_2022
Italy,2241.0,7304390008,73,7304390008,331110,331110,direct_2022
Germany,534320.0,7304390016,73,7304390016,331110,331110,direct_2022
Italy,8361.0,7304390016,73,7304390016,331110,331110,direct_2022
Finland,5342.0,7304390020,73,7304390020,331110,331110,direct_2022
France,88433.0,7304390020,73,7304390020,331110,331110,direct_2022
Germany,875668.0,7304390020,73,7304390020,331110,331110,direct_2022
Germany,1527366.0,7304390024,73,7304390024,331110,331110,direct_2022
Germany,204313.0,7304390028,73,7304390028,331110,331110,direct_2022
Italy,36354.0,7304390028,73,7304390028,331110,331110,direct_2022
Germany,40786.0,7304390032,73,7304390032,331110,331110,direct_2022
Italy,16974.0,7304390032,73,7304390032,331110,331110,direct_2022
Germany,103813.0,7304390036,73,7304390036,331110,331110,direct_2022
Italy,11061.0,7304390036,73,7304390036,331110,331110,direct_2022
Germany,37723.0,7304390040,73,7304390040,331110,331110,direct_2022
Italy,103491.0,7304390040,73,7304390040,331110,331110,direct_2022
Germany,19835.0,7304390044,73,7304390044,331110,331110,direct_2022
Italy,199395.0,7304390044,73,7304390044,331110,331110,direct_2022
Germany,28024.0,7304390048,73,7304390048,331110,331110,direct_2022
Italy,11085.0,7304390048,73,7304390048,331110,331110,direct_2022
France,101886.0,7304390052,73,7304390052,331110,331110,direct_2022
Germany,41439.0,7304390052,73,7304390052,331110,331110,direct_2022
Italy,376059.0,7304390052,73,7304390052,331110,331110,direct_2022
France,278069.0,7304390056,73,7304390056,331110,331110,direct_2022
Italy,216156.0,7304390056,73,7304390056,331110,331110,direct_2022
Italy,220419.0,7304390062,73,7304390062,331110,331110,direct_2022
Italy,375911.0,7304390068,73,7304390068,331110,331110,direct_2022
France,2443724.0,7304390072,73,7304390072,331110,331110,direct_2022
Germany,88419.0,7304390072,73,7304390072,331110,331110,direct_2022
Italy,1963801.0,7304390072,73,7304390072,331110,331110,direct_2022
Germany,107710.0,7304390076,73,7304390076,331110,331110,direct_2022
Italy,3699602.0,7304390076,73,7304390076,331110,331110,direct_2022
France,365916.0,7304390080,73,7304390080,331110,331110,direct_2022
Germany,28629.0,7304390080,73,7304390080,331110,331110,direct_2022
Italy,2227193.0,7304390080,73,7304390080,331110,331110,direct_2022
Germany,349340.0,7304413005,73,7304413005,331210,331110,direct_2022
Italy,142792.0,7304413005,73,7304413005,331210,331110,direct_2022
France,13274.0,7304413015,73,7304413015,331210,331110,direct_2022
Germany,1043920.0,7304413015,73,7304413015,331210,331110,direct_2022
Italy,31778.0,7304413015,73,7304413015,331210,331110,direct_2022
France,3333784.0,7304413045,73,7304413045,331210,331110,direct_2022
Germany,10671715.0,7304413045,73,7304413045,331210,331110,direct_2022
Ireland,8574.0,7304413045,73,7304413045,331210,331110,direct_2022
Italy,520850.0,7304413045,73,7304413045,331210,331110,direct_2022
France,907355.0,7304416005,73,7304416005,331210,331110,direct_2022
Germany,194127.0,7304416005,73,7304416005,331210,331110,direct_2022
France,2153.0,7304416015,73,7304416015,331210,331110,direct_2022
Germany,1280061.0,7304416015,73,7304416015,331210,331110,direct_2022
Italy,45686.0,7304416015,73,7304416015,331210,331110,direct_2022
Finland,62710.0,7304416045,73,7304416045,331210,331110,direct_2022
France,468834.0,7304416045,73,7304416045,331210,331110,direct_2022
Germany,1463609.0,7304416045,73,7304416045,331210,331110,direct_2022
Ireland,51938.0,7304416045,73,7304416045,331210,331110,direct_2022
Italy,2719484.0,7304416045,73,7304416045,331210,331110,direct_2022
France,1617658.0,7304490005,73,7304490005,331210,331110,direct_2022
Germany,261909.0,7304490005,73,7304490005,331210,331110,direct_2022
France,8382013.0,7304490015,73,7304490015,331210,331110,direct_2022
Germany,94947.0,7304490015,73,7304490015,331210,331110,direct_2022
Germany,56192.0,7304490045,73,7304490045,331210,331110,direct_2022
Finland,34605.0,7304490060,73,7304490060,331210,331110,direct_2022
France,12255713.0,7304490060,73,7304490060,331210,331110,direct_2022
Germany,3703064.0,7304490060,73,7304490060,331210,331110,direct_2022
Italy,754769.0,7304490060,73,7304490060,331210,331110,direct_2022
France,6919.0,7304511000,73,7304511000,331210,331110,direct_2022
France,2250.0,7304515005,73,7304515005,331210,331110,direct_2022
Italy,3966.0,7304515005,73,7304515005,331210,331110,direct_2022
Germany,142179.0,7304515015,73,7304515015,331210,331110,direct_2022
France,29992.0,7304515045,73,7304515045,331210,331110,direct_2022
Germany,890233.0,7304515045,73,7304515045,331210,331110,direct_2022
France,56128.0,7304515060,73,7304515060,331210,331110,direct_2022
Germany,13584259.0,7304515060,73,7304515060,331210,331110,direct_2022
Italy,2032378.0,7304515060,73,7304515060,331210,331110,direct_2022
Germany,35242.0,7304591000,73,7304591000,331210,331110,direct_2022
France,50421.0,7304592030,73,7304592030,331210,331110,direct_2022
Germany,23596.0,7304592030,73,7304592030,331210,331110,direct_2022
Italy,859343.0,7304592030,73,7304592030,331210,331110,direct_2022
Germany,323710.0,7304592040,73,7304592040,331210,331110,direct_2022
Germany,1105947.0,7304592045,73,7304592045,331210,331110,direct_2022
Italy,280450.0,7304592060,73,7304592060,331210,331110,direct_2022
France,39134.0,7304592070,73,7304592070,331210,331110,direct_2022
Germany,1095270.0,7304592070,73,7304592070,331210,331110,direct_2022
Italy,398349.0,7304592070,73,7304592070,331210,331110,direct_2022
Germany,51046.0,7304592080,73,7304592080,331210,331110,direct_2022
Italy,1033440.0,7304592080,73,7304592080,331210,331110,direct_2022
Finland,4912.0,7304596000,73,7304596000,331210,331110,direct_2022
Italy,66845.0,7304596000,73,7304596000,331210,331110,direct_2022
Finland,2885.0,7304598010,73,7304598010,331210,331110,direct_2022
Germany,857217.0,7304598010,73,7304598010,331210,331110,direct_2022
Germany,5197240.0,7304598015,73,7304598015,331210,331110,direct_2022
Italy,110965.0,7304598015,73,7304598015,331210,331110,direct_2022
Germany,21345628.0,7304598020,73,7304598020,331210,331110,direct_2022
Italy,87033.0,7304598020,73,7304598020,331210,331110,direct_2022
Germany,36668.0,7304598025,73,7304598025,331210,331110,direct_2022
Italy,899167.0,7304598025,73,7304598025,331210,331110,direct_2022
Germany,526679.0,7304598035,73,7304598035,331210,331110,direct_2022
Italy,601205.0,7304598035,73,7304598035,331210,331110,direct_2022
Italy,5582665.0,7304598040,73,7304598040,331210,331110,direct_2022
Germany,284113.0,7304598045,73,7304598045,331210,331110,direct_2022
Italy,69710.0,7304598045,73,7304598045,331210,331110,direct_2022
Germany,27099.0,7304598050,73,7304598050,331210,331110,direct_2022
Italy,1095970.0,7304598050,73,7304598050,331210,331110,direct_2022
France,1078817.0,7304598055,73,7304598055,331210,331110,direct_2022
Germany,130632.0,7304598055,73,7304598055,331210,331110,direct_2022
Italy,2513913.0,7304598055,73,7304598055,331210,331110,direct_2022
Italy,190950.0,7304598060,73,7304598060,331210,331110,direct_2022
Germany,2726.0,7304598065,73,7304598065,331210,331110,direct_2022
Italy,350849.0,7304598065,73,7304598065,331210,331110,direct_2022
France,2268107.0,7304598070,73,7304598070,331210,331110,direct_2022
Germany,35496.0,7304598070,73,7304598070,331210,331110,direct_2022
Italy,4448369.0,7304598070,73,7304598070,331210,331110,direct_2022
France,237992.0,7304598080,73,7304598080,331210,331110,direct_2022
Germany,18648.0,7304598080,73,7304598080,331210,331110,direct_2022
Italy,4416624.0,7304598080,73,7304598080,331210,331110,direct_2022
Germany,5679272.0,7304901000,73,7304901000,331110,331110,direct_2022
Italy,90379.0,7304901000,73,7304901000,331110,331110,direct_2022
France,2585.0,7304903000,73,7304903000,331110,331110,direct_2022
Germany,2224845.0,7304903000,73,7304903000,331110,331110,direct_2022
Italy,8566465.0,7304903000,73,7304903000,331110,331110,direct_2022
France,2536.0,7304905000,73,7304905000,331110,331110,direct_2022
Germany,114780.0,7304905000,73,7304905000,331110,331110,direct_2022
Italy,8209.0,7304905000,73,7304905000,331110,331110,direct_2022
Finland,5206.0,7304907000,73,7304907000,331110,331110,direct_2022
France,72908.0,7304907000,73,7304907000,331110,331110,direct_2022
Germany,227458.0,7304907000,73,7304907000,331110,331110,direct_2022
Ireland,20336.0,7304907000,73,7304907000,331110,331110,direct_2022
Italy,91198.0,7304907000,73,7304907000,331110,331110,direct_2022
Germany,24969.0,7305111030,73,7305111030,331110,331110,direct_2022
Germany,66211.0,7305111060,73,7305111060,331110,331110,direct_2022
Italy,10335.0,7305111060,73,7305111060,331110,331110,direct_2022
Germany,11374561.0,7305115000,73,7305115000,331110,331110,direct_2022
Italy,6495174.0,7305115000,73,7305115000,331110,331110,direct_2022
Germany,58787436.0,7305121030,73,7305121030,331110,331110,direct_2022
Greece,15321298.0,7305121030,73,7305121030,331110,331110,direct_2022
Italy,6237.0,7305125000,73,7305125000,331110,331110,direct_2022
Germany,161948.0,7305191030,73,7305191030,331110,331110,direct_2022
Germany,74616.0,7305191060,73,7305191060,331110,331110,direct_2022
Italy,191845.0,7305191060,73,7305191060,331110,331110,direct_2022
Germany,84248.0,7305195000,73,7305195000,331110,331110,direct_2022
Germany,1901615.0,7305202000,73,7305202000,331110,331110,direct_2022
Germany,3460964.0,7305206000,73,7305206000,331110,331110,direct_2022
Italy,262002.0,7305314000,73,7305314000,331110,331110,direct_2022
Germany,6220467.0,7305316010,73,7305316010,331110,331110,direct_2022
