Country,iso3,HS_Section,detail_code,impVal,bea_total,weight
Antigua and Barbuda,ATG,7,326220,289.0,289.0,1.0
Antigua and Barbuda,ATG,13,327100,9216.0,9216.0,1.0
Antigua and Barbuda,ATG,13,327999,4241.0,4241.0,1.0
Antigua and Barbuda,ATG,15,331313,1395289.0,1395289.0,1.0
Antigua and Barbuda,ATG,15,332999,5243.0,5243.0,1.0
Antigua and Barbuda,ATG,16,333618,54766.0,54766.0,1.0
Antigua and Barbuda,ATG,16,333914,3000.0,3000.0,1.0
Antigua and Barbuda,ATG,16,33399A,7741.0,7741.0,1.0
Antigua and Barbuda,ATG,16,334111,5690.0,5690.0,1.0
Antigua and Barbuda,ATG,16,334220,12000.0,12000.0,1.0
Antigua and Barbuda,ATG,18,334515,3754.0,3754.0,1.0
Antigua and Barbuda,ATG,18,334516,226261.0,226261.0,1.0
Antigua and Barbuda,ATG,16,335210,10000.0,10000.0,1.0
Antigua and Barbuda,ATG,16,335314,4871.0,4871.0,1.0
Antigua and Barbuda,ATG,17,336390,9049.0,9049.0,1.0
Antigua and Barbuda,ATG,14,339910,22477.0,22477.0,1.0
Antigua and Barbuda,ATG,20,339930,32292.0,32292.0,1.0
Antigua and Barbuda,ATG,7,339990,5672.0,26372.0,0.21507659639011073
Antigua and Barbuda,ATG,16,339990,3700.0,26372.0,0.14030031851964203
Antigua and Barbuda,ATG,20,339990,17000.0,26372.0,0.6446230850902472
Antigua and Barbuda,ATG,10,S00300,10300.0,19955625.0,0.0005161451971561903
Antigua and Barbuda,ATG,14,S00300,338389.0,19955625.0,0.01695707350684331
Antigua and Barbuda,ATG,15,S00300,1254767.0,19955625.0,0.0628778602524351
Antigua and Barbuda,ATG,16,S00300,44707.0,19955625.0,0.0022403207115788155
Antigua and Barbuda,ATG,21,S00300,18307462.0,19955625.0,0.9174086003319866
Argentina,ARG,2,1111A0,91375019.0,91375019.0,1.0
Argentina,ARG,2,1111B0,43352267.0,43352267.0,1.0
Argentina,ARG,2,111200,44972153.0,44972153.0,1.0
Argentina,ARG,2,111300,172721351.0,172721351.0,1.0
Argentina,ARG,2,111400,967757.0,967757.0,1.0
Argentina,ARG,2,111900,1048326.0,14146737.0,0.0741037314823906
Argentina,ARG,4,111900,13098411.0,14146737.0,0.9258962685176094
Argentina,ARG,1,112A00,158601683.0,159877283.0,0.9920213805484798
Argentina,ARG,8,112A00,1275600.0,159877283.0,0.0079786194515202
Argentina,ARG,2,113000,7508393.0,7508393.0,1.0
Argentina,ARG,1,114000,342683168.0,349732981.0,0.9798422986020869
Argentina,ARG,2,114000,81180.0,349732981.0,0.00023211994410101116
Argentina,ARG,4,114000,6968633.0,349732981.0,0.019925581453812045
Argentina,ARG,2,115000,932625.0,932625.0,1.0
Argentina,ARG,5,211000,1411244779.0,1411244779.0,1.0
Argentina,ARG,5,212310,2960.0,2960.0,1.0
Argentina,ARG,5,2123A0,4808215.0,4808215.0,1.0
Argentina,ARG,4,311111,3439214.0,3439214.0,1.0
Argentina,ARG,2,311119,9880.0,554244.0,0.017826083818679138
Argentina,ARG,4,311119,544364.0,554244.0,0.9821739161813209
Argentina,ARG,2,311210,25383708.0,31216484.0,0.8131507699585898
Argentina,ARG,4,311210,5832776.0,31216484.0,0.18684923004141019
Argentina,ARG,2,311221,1701334.0,2243390.0,0.758376385737656
Argentina,ARG,3,311221,530716.0,2243390.0,0.23656876423626744
Argentina,ARG,6,311221,11340.0,2243390.0,0.0050548500260766075
Argentina,ARG,2,311224,53428.0,289221433.0,0.00018473043109498735
Argentina,ARG,3,311224,280577974.0,289221433.0,0.9701147355839289
Argentina,ARG,4,311224,8590031.0,289221433.0,0.02970053398497614
Argentina,ARG,1,311225,2409723.0,5961988.0,0.40418112213577084
Argentina,ARG,3,311225,3552265.0,5961988.0,0.5958188778642292
Argentina,ARG,4,311230,27766.0,27766.0,1.0
Argentina,ARG,4,311300,162416104.0,162416104.0,1.0
Argentina,ARG,2,311410,22398562.0,94993760.0,0.23578982451057837
Argentina,ARG,4,311410,72595198.0,94993760.0,0.7642101754894216
Argentina,ARG,2,311420,17399383.0,153261771.0,0.11352722134471485
Argentina,ARG,4,311420,135862388.0,153261771.0,0.8864727786552852
Argentina,ARG,1,311513,6832808.0,6832808.0,1.0
