Country,impVal,hs_code,hs2_code,detail_code
Syria,5962.0,1207990391,12,1111A0
Israel,5625.0,1209299196,12,111900
Israel,856722.0,1209300090,12,111400
Jordan,8000.0,1209300090,12,111400
Israel,77561.0,1209914000,12,111200
Saudi Arabia,20703.0,1209914000,12,111200
Israel,1275981.0,1209916010,12,111200
Israel,2498207.0,1209916090,12,111200
Jordan,70550.0,1209916090,12,111200
Israel,71130.0,1209918030,12,111200
Israel,104375.0,1209918040,12,111200
Jordan,404347.0,1209918040,12,111200
Israel,10641.0,1209918050,12,111200
Israel,41480.0,1209918060,12,111200
Jordan,118933.0,1209918060,12,111200
Israel,7876822.0,1209918070,12,111200
Jordan,229205.0,1209918070,12,111200
Lebanon,105536.0,1209918070,12,111200
Israel,1335347.0,1209918090,12,111200
Jordan,38920.0,1209918090,12,111200
Israel,4069.0,1209994170,12,111900
Israel,1217076.0,1209994190,12,111400
Lebanon,106360.0,1211902000,12,111900
Israel,9466.0,1211904020,12,311920
Jordan,14000.0,1211904020,12,311920
Lebanon,3881.0,1211904020,12,311920
Jordan,8687.0,1211904040,12,111900
Kuwait,11092.0,1211904040,12,111900
Lebanon,3547.0,1211904040,12,111900
Syria,3945.0,1211904040,12,111900
United Arab Emirates,32797.0,1211908931,12,325411
Israel,380077.0,1211908940,12,111900
Jordan,40471.0,1211908950,12,111900
Lebanon,13568.0,1211908950,12,111900
West Bank Administered by Israel,4800.0,1211908950,12,111900
Israel,819561.0,1211908980,12,311920
Jordan,142755.0,1211908980,12,311920
Lebanon,10669.0,1211908980,12,311920
Saudi Arabia,7905.0,1211908980,12,311920
Syria,37883.0,1211908980,12,311920
United Arab Emirates,11855.0,1211908980,12,311920
Israel,1379887.0,1211908990,12,111300
Jordan,30394.0,1211908990,12,111300
Lebanon,97984.0,1211908990,12,111300
United Arab Emirates,43624.0,1211908990,12,111300
Yemen,3300.0,1211908990,12,111300
Israel,270960.0,1212210000,12,114000
Israel,123650.0,1212290000,12,114000
United Arab Emirates,700704.0,1212290000,12,114000
Israel,7926.0,1212920000,12,111900
Israel,7264.0,1212930000,12,111900
Israel,308000.0,1212999200,12,111900
Lebanon,2295.0,1212999200,12,111900
United Arab Emirates,4350.0,1212999200,12,111900
Iraq,4005.0,1301200000,13,113000
Jordan,3141.0,1301909190,13,113000
Oman,10791.0,1301909190,13,113000
Syria,6750.0,1302120000,13,113000
Israel,4698647.0,1302199140,13,113000
Lebanon,32877.0,1302199140,13,113000
United Arab Emirates,26700.0,1302199140,13,113000
Israel,2470175.0,1404909090,14,111900
Lebanon,4116.0,1404909090,14,111900
United Arab Emirates,12948.0,1404909090,14,111900
Israel,84786.0,1502100040,15,31161A
United Arab Emirates,291460.0,1504206040,15,114000
Israel,96226.0,1505009000,15,325190
Israel,202442.0,1509202030,15,311224
Lebanon,4360.0,1509202030,15,311224
Israel,1706311.0,1509202090,15,311224
Jordan,333305.0,1509202090,15,311224
Lebanon,9184430.0,1509202090,15,311224
Syria,99595.0,1509202090,15,311224
United Arab Emirates,74800.0,1509202090,15,311224
West Bank Administered by Israel,425116.0,1509202090,15,311224
Jordan,32114.0,1509209090,15,311224
Lebanon,2616825.0,1509209090,15,311224
