ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
BGD,1,20734374.0,80271.0,0.38713973231118526,10.387139732311185
BGD,2,5048943.0,101609.0,2.012480632084775,12.012480632084776
BGD,3,231836.0,6376.0,2.7502199830914957,12.750219983091496
BGD,4,25788821.0,1325946.0,5.141553388578718,15.141553388578718
BGD,5,0.0,0.0,0.0,0.0
BGD,6,21777559.0,17315.0,0.07950845179664076,10.079508451796642
BGD,7,22864663.0,638920.0,2.794355639529872,12.794355639529872
BGD,8,101727468.0,12278840.0,12.07032893023544,22.07032893023544
BGD,9,3257830.0,113195.0,3.474552079144707,13.474552079144706
BGD,10,4794750.0,0.0,0.0,9.988237134365713
BGD,11,7329016700.0,1208552026.0,16.48996141597003,26.48996141597003
BGD,12,704846587.0,46048023.0,6.5330561074278135,16.533056107427814
BGD,13,5672663.0,677893.0,11.950172255958092,21.950172255958094
BGD,14,656106.0,57058.0,8.69646063288554,18.69646063288554
BGD,15,3895134.0,92021.0,2.3624604442363215,26.725940622325187
BGD,16,12669151.0,55230.0,0.4359408140292905,14.253390775751273
BGD,17,4341646.0,447834.0,10.314843725167828,20.36113607604121
BGD,18,35817373.0,268175.0,0.7487288361432872,10.748728836143288
BGD,19,0.0,0.0,0.0,0.0
BGD,20,45310593.0,967795.0,2.1359133392935292,13.809122074389977
BGD,21,95786048.0,0.0,0.0,10.0
BGR,1,635568163.0,3286967.0,0.5171698633369085,10.517169863336907
BGR,2,71277351.0,165397.0,0.2320470635896668,10.232047063589668
BGR,3,792371.0,35469.0,4.47631223252744,14.47631223252744
BGR,4,62188898.0,2226651.0,3.580463831341729,13.58046383134173
BGR,5,140936086.0,550021.0,0.3902627180947823,9.392061377382085
BGR,6,686768979.0,6651634.0,0.9685402520197407,10.124396096230782
BGR,7,25561566.0,948220.0,3.7095536321992166,13.710889817939949
BGR,8,204397686.0,5549346.0,2.7149749630727227,12.714974963072724
BGR,9,16732827.0,1408280.0,8.416270603885405,17.989773634783894
BGR,10,407890392.0,0.0,0.0,10.0
BGR,11,96563281.0,12976647.0,13.43849014409525,23.438490144095248
BGR,12,3325208.0,171503.0,5.157662317665541,15.157662317665542
BGR,13,25132845.0,779752.0,3.1025218195552475,13.102521819555248
BGR,14,73471869.0,15837.0,0.021555188694056496,10.021555188694055
BGR,15,304780196.0,6691904.0,2.195649221250583,11.467617108560427
BGR,16,344698817.0,4197351.0,1.21768651152638,13.81626076192771
BGR,17,32422591.0,322714.0,0.9953368624981267,13.010377702386586
BGR,18,174392491.0,283926.0,0.16280861542369965,10.332482119313267
BGR,19,7100942.0,153598.0,2.1630651257255726,12.163065125725574
BGR,20,55418519.0,1220870.0,2.203000047691639,38.249792185893675
BGR,21,38673680.0,0.0,0.0,10.0
BHR,1,8552314.0,3362.0,0.03931099816961819,10.039310998169618
BHR,2,0.0,0.0,0.0,0.0
BHR,3,0.0,0.0,0.0,0.0
BHR,4,271953.0,16.0,0.005883369552827143,10.005883369552826
BHR,5,201578858.0,626501.0,0.3107969785204359,10.053819384173712
BHR,6,4207344.0,15637.0,0.3716596503637449,10.371659650363744
