iso3,HS_Section,impVal
ETH,14,1874829.0
ETH,15,10409.0
ETH,16,909482.0
ETH,18,35524.0
ETH,19,8500.0
ETH,20,4133.0
ETH,21,80212205.0
FIN,1,17493441.0
FIN,2,3717099.0
FIN,3,443253.0
FIN,4,13025690.0
FIN,5,800861363.0
FIN,6,1967423286.0
FIN,7,153302333.0
FIN,8,2262996.0
FIN,9,100090722.0
FIN,10,1163339433.0
FIN,11,36067216.0
FIN,12,480108.0
FIN,13,49081977.0
FIN,14,520215.0
FIN,15,521084332.0
FIN,16,1965509540.0
FIN,17,406278590.0
FIN,18,572717806.0
FIN,19,43721764.0
FIN,20,84887426.0
FIN,21,127208120.0
FJI,1,8958409.0
FJI,2,26149918.0
FJI,3,81856.0
FJI,4,208018483.0
FJI,6,1561852.0
FJI,7,14271.0
FJI,8,52924.0
FJI,9,6909297.0
FJI,10,30098.0
FJI,11,375612.0
FJI,12,715.0
FJI,14,584880.0
FJI,15,132725.0
FJI,16,171526.0
FJI,17,131896.0
FJI,18,224744.0
FJI,20,218428.0
FJI,21,5654839.0
FLK,1,19743512.0
FLK,7,3262.0
FLK,14,4518.0
FLK,16,2458265.0
FLK,18,2580.0
FLK,20,3764.0
FLK,21,540760.0
FRA,1,392245217.0
FRA,2,338140709.0
FRA,3,86460827.0
FRA,4,5951260970.0
FRA,5,951415148.0
FRA,6,12219622634.0
FRA,7,1537801628.0
FRA,8,1390434455.0
FRA,9,306139713.0
FRA,10,341005930.0
FRA,11,528263591.0
FRA,12,37429722.0
FRA,13,472937696.0
FRA,14,2049730712.0
FRA,15,2026177195.0
FRA,16,13582781378.0
FRA,17,7751173813.0
FRA,18,2831902357.0
FRA,19,31065845.0
FRA,20,552367226.0
FRA,21,6524911185.0
FRO,1,248111527.0
FRO,4,46570.0
FRO,7,295824.0
FRO,8,1658.0
FRO,10,51585.0
FRO,11,11282.0
FRO,16,213072.0
FRO,17,41500.0
FRO,18,128194.0
FRO,20,63467.0
FRO,21,487853.0
FSM,1,166169.0
FSM,2,47125.0
FSM,4,18298.0
FSM,6,138660.0
FSM,7,187049.0
FSM,8,9568.0
FSM,9,9867.0
FSM,10,8343.0
FSM,11,90598.0
FSM,12,4484.0
FSM,13,34176.0
FSM,15,52396.0
FSM,16,169537.0
FSM,18,911621.0
FSM,20,82092.0
FSM,21,510107.0
GAB,4,64214.0
GAB,5,141207209.0
GAB,6,1338111.0
GAB,7,284.0
GAB,8,3129.0
GAB,9,21117671.0
GAB,10,17553.0
GAB,11,4107.0
GAB,13,7844.0
GAB,14,18335.0
GAB,15,331468.0
GAB,16,1236136.0
GAB,17,16088.0
GAB,18,35241.0
GAB,20,76069.0
GAB,21,6193395.0
GBR,1,448340604.0
GBR,2,95438922.0
GBR,3,127058476.0
GBR,4,2415296072.0
GBR,5,3265217991.0
GBR,6,12008556922.0
GBR,7,1309959979.0
GBR,8,56422805.0
GBR,9,22075945.0
GBR,10,714771521.0
GBR,11,465951696.0
GBR,12,52645315.0
