iso3,HS2,impVal
BGR,56,610505.0
BGR,57,10848.0
BGR,58,99921.0
BGR,59,523664.0
BGR,60,28779.0
BGR,61,23312831.0
BGR,62,52296523.0
BGR,63,832995.0
BGR,64,679725.0
BGR,65,2225072.0
BGR,66,7024.0
BGR,67,437481.0
BGR,68,16885747.0
BGR,69,3693357.0
BGR,70,4409692.0
BGR,71,73471869.0
BGR,72,66279552.0
BGR,73,11660809.0
BGR,74,72734666.0
BGR,75,46140.0
BGR,76,49914237.0
BGR,79,35765.0
BGR,81,505534.0
BGR,82,3977054.0
BGR,83,15872649.0
BGR,84,179078726.0
BGR,85,177329138.0
BGR,86,3533852.0
BGR,87,32672269.0
BGR,88,1018381.0
BGR,89,188679.0
BGR,90,172905396.0
BGR,91,94363.0
BGR,92,1008469.0
BGR,93,7044374.0
BGR,94,16583889.0
BGR,95,38267889.0
BGR,96,655275.0
BGR,97,4337968.0
BGR,98,7090159.0
BGR,99,27380302.0
BHR,1,68890.0
BHR,3,3044737.0
BHR,4,5562784.0
BHR,16,250144.0
BHR,22,21809.0
BHR,27,196398733.0
BHR,28,3883324.0
BHR,31,51965.0
BHR,33,224989.0
BHR,36,47066.0
BHR,39,36818334.0
BHR,40,270.0
BHR,42,5692.0
BHR,44,5861.0
BHR,48,752562.0
BHR,49,9500.0
BHR,52,329429.0
BHR,54,993071.0
BHR,55,7207.0
BHR,57,19600.0
BHR,61,38906.0
BHR,62,23957.0
BHR,63,52425594.0
BHR,64,50500.0
BHR,65,3890932.0
BHR,68,3000.0
BHR,70,22393870.0
BHR,71,50669695.0
BHR,72,58099.0
BHR,73,226233.0
BHR,74,78151211.0
BHR,76,695398541.0
BHR,83,3240.0
BHR,84,2231361.0
BHR,85,121568.0
BHR,87,161800.0
BHR,88,116500.0
BHR,90,233599.0
BHR,91,1283722.0
BHR,94,619913.0
BHR,95,263619.0
BHR,96,10584.0
BHR,97,1451005.0
BHR,98,44600173.0
BHR,99,1417333.0
BHS,1,21000.0
BHS,3,102101902.0
BHS,5,629419.0
BHS,16,180735.0
BHS,19,56923.0
BHS,21,11984.0
BHS,22,89127.0
BHS,24,6444.0
BHS,25,47304700.0
BHS,27,598685277.0
BHS,29,2060.0
BHS,30,3000.0
BHS,32,6505.0
BHS,34,18412.0
BHS,38,18698.0
BHS,39,54415629.0
BHS,40,35391.0
BHS,42,4442.0
BHS,49,49940.0
BHS,56,1000.0
BHS,61,15847.0
BHS,62,6266.0
BHS,63,6130.0
BHS,64,12228.0
BHS,65,1663.0
BHS,66,280.0
BHS,68,10785.0
BHS,71,1548745.0
BHS,72,359437.0
BHS,73,202110.0
BHS,74,2860781.0
BHS,76,576425.0
BHS,78,165997.0
BHS,80,14400.0
BHS,82,23206.0
BHS,83,12556.0
BHS,84,962867.0
BHS,85,398250.0
BHS,86,5000.0
BHS,87,14000.0
BHS,89,483355.0
BHS,90,488625.0
BHS,94,39619.0
BHS,95,749051.0
BHS,96,4584.0
BHS,97,3094595.0
BHS,98,972087378.0
BHS,99,4586251.0
BIH,4,148018.0
BIH,7,5410.0
BIH,8,14963.0
BIH,9,1372991.0
BIH,10,2088.0
BIH,11,163156.0
BIH,12,13581.0
BIH,17,48007.0
BIH,18,2634.0
BIH,19,1246689.0
BIH,20,284564.0
BIH,21,19322.0
BIH,22,906063.0
BIH,25,635645.0
BIH,28,2300244.0
BIH,29,4644.0
BIH,33,152641.0
BIH,36,4643105.0
BIH,38,4661836.0
BIH,39,1016710.0
BIH,40,415489.0
BIH,42,425627.0
BIH,43,816.0
BIH,44,1162026.0
BIH,48,55296.0
BIH,49,971574.0
BIH,52,700.0
BIH,54,136209.0
BIH,56,230549.0
BIH,57,26387.0
BIH,60,648.0
BIH,61,2948831.0
BIH,62,8383550.0
BIH,63,1071207.0
BIH,64,15623363.0
BIH,65,95597.0
BIH,66,187067.0
BIH,68,76166.0
BIH,69,2635.0
BIH,70,311692.0
BIH,71,90208.0
BIH,72,115412.0
BIH,73,4777514.0
BIH,74,50734.0
BIH,76,3406907.0
BIH,79,17468.0
BIH,80,156672.0
BIH,82,1859657.0
BIH,83,3845858.0
BIH,84,18024889.0
BIH,85,12501255.0
BIH,86,1257003.0
BIH,87,6992885.0
BIH,88,2290.0
BIH,90,117007.0
BIH,91,53245.0
BIH,92,34395.0
BIH,93,51379283.0
BIH,94,12763336.0
BIH,95,7603180.0
BIH,97,30204.0
BIH,98,558219.0
BIH,99,3684223.0
BLR,3,139578.0
BLR,4,1014565.0
BLR,6,52151.0
BLR,11,2709695.0
BLR,15,679627.0
BLR,16,2587539.0
BLR,17,84314.0
BLR,18,783378.0
BLR,19,464875.0
BLR,20,32178.0
BLR,21,58163.0
BLR,22,67758.0
BLR,27,2665.0
BLR,29,11844.0
BLR,31,19893.0
BLR,34,284044.0
BLR,38,88672.0
BLR,39,333345.0
BLR,40,132931.0
BLR,42,45379.0
BLR,44,274778.0
BLR,49,1529428.0
BLR,53,2124693.0
BLR,56,529.0
BLR,61,216239.0
BLR,62,16069.0
BLR,63,4501.0
BLR,70,15711.0
BLR,73,44207.0
BLR,76,629298.0
BLR,82,3475551.0
BLR,83,5249.0
BLR,84,527755.0
BLR,85,208731.0
BLR,87,3678.0
BLR,90,758423.0
BLR,94,89278.0
BLR,95,19469.0
BLR,97,50626.0
BLR,98,58330.0
BLR,99,403836.0
BLZ,1,27476.0
BLZ,3,15131760.0
BLZ,7,27940.0
BLZ,8,2578965.0
BLZ,9,90137.0
BLZ,12,2173.0
BLZ,14,13480.0
BLZ,15,83486.0
BLZ,17,42458020.0
BLZ,18,373918.0
BLZ,20,837068.0
BLZ,21,2110329.0
BLZ,22,4043916.0
BLZ,27,4225.0
BLZ,30,6333.0
BLZ,33,894633.0
BLZ,35,127449.0
BLZ,39,21122.0
BLZ,40,1797.0
BLZ,42,850.0
BLZ,44,1956440.0
BLZ,48,43306.0
BLZ,49,3144.0
BLZ,56,16614.0
BLZ,58,66394.0
BLZ,63,730.0
BLZ,64,126793.0
BLZ,68,213119.0
