Country,iso3,HS_Section,summary_code,impVal,bea_total,weight
Armenia,ARM,11,315AL,7984659.0,8267713.0,0.9657639301219092
Armenia,ARM,12,315AL,69686.0,8267713.0,0.008428691223316532
Armenia,ARM,9,321,387341.0,387341.0,1.0
Armenia,ARM,7,322,18196.0,95825.0,0.18988781633185495
Armenia,ARM,10,322,77629.0,95825.0,0.8101121836681451
Armenia,ARM,10,323,18231.0,18231.0,1.0
Armenia,ARM,6,325,1002607.0,1002607.0,1.0
Armenia,ARM,7,326,269035.0,269035.0,1.0
Armenia,ARM,6,327,2440.0,80424.0,0.03033920222819059
Armenia,ARM,13,327,77984.0,80424.0,0.9696607977718094
Armenia,ARM,15,331,2160611.0,2160611.0,1.0
Armenia,ARM,15,332,205431.0,205431.0,1.0
Armenia,ARM,16,333,295198.0,370985.0,0.7957141124304217
Armenia,ARM,17,333,14647.0,370985.0,0.03948138064881329
Armenia,ARM,18,333,55132.0,370985.0,0.14860978206666037
Armenia,ARM,20,333,4000.0,370985.0,0.010782107093278703
Armenia,ARM,21,333,2008.0,370985.0,0.005412617760825909
Armenia,ARM,16,334,406017.0,617819.0,0.6571779113300174
Armenia,ARM,18,334,211802.0,617819.0,0.34282208866998265
Armenia,ARM,15,335,8100.0,232307.0,0.03486765357910007
Armenia,ARM,16,335,224207.0,232307.0,0.9651323464209
Armenia,ARM,16,3361MV,14029.0,14029.0,1.0
Armenia,ARM,20,337,124863.0,124863.0,1.0
Armenia,ARM,6,339,120000.0,84831484.0,0.0014145691474641655
Armenia,ARM,7,339,4623.0,84831484.0,5.449627640605698e-05
Armenia,ARM,11,339,1180.0,84831484.0,1.3909929950064295e-05
Armenia,ARM,12,339,6550.0,84831484.0,7.72118992990857e-05
Armenia,ARM,14,339,82070120.0,84831484.0,0.967448830672348
Armenia,ARM,18,339,1768917.0,84831484.0,0.020852128438540576
Armenia,ARM,20,339,860094.0,84831484.0,0.010138853635992033
Armenia,ARM,21,Other,3021911.0,3021911.0,1.0
Aruba,ABW,20,313TT,300.0,300.0,1.0
Aruba,ABW,8,315AL,6097.0,6886.0,0.8854196921289573
Aruba,ABW,11,315AL,789.0,6886.0,0.11458030787104269
Aruba,ABW,9,321,4000.0,4000.0,1.0
Aruba,ABW,10,323,18088.0,18088.0,1.0
Aruba,ABW,6,325,1121496.0,1121496.0,1.0
Aruba,ABW,7,326,4952.0,4952.0,1.0
Aruba,ABW,13,327,47460.0,47460.0,1.0
Aruba,ABW,15,332,21183.0,21183.0,1.0
Aruba,ABW,16,333,22363.0,22363.0,1.0
Aruba,ABW,16,334,83689.0,323347.0,0.25882101890538645
Aruba,ABW,18,334,239658.0,323347.0,0.7411789810946136
Aruba,ABW,16,335,6016.0,6016.0,1.0
Aruba,ABW,16,3361MV,62618.0,62618.0,1.0
Aruba,ABW,17,3364OT,4300.0,4300.0,1.0
Aruba,ABW,20,337,2775.0,2775.0,1.0
Aruba,ABW,14,339,111990.0,137099.0,0.8168549734133728
Aruba,ABW,18,339,19425.0,137099.0,0.1416859349812909
Aruba,ABW,20,339,5684.0,137099.0,0.04145909160533629
