naics,naics22,mapping_type
454110,459310,official_crosswalk
453110,459310,official_crosswalk
454390,459310,official_crosswalk
454390,459410,official_crosswalk
453210,459410,official_crosswalk
454110,459410,official_crosswalk
454390,459420,official_crosswalk
453220,459420,official_crosswalk
454110,459420,official_crosswalk
454110,459510,official_crosswalk
453310,459510,official_crosswalk
454390,459510,official_crosswalk
453910,459910,official_crosswalk
454390,459910,official_crosswalk
454110,459910,official_crosswalk
453920,459920,official_crosswalk
454390,459920,official_crosswalk
454110,459920,official_crosswalk
453930,459930,official_crosswalk
453991,459991,official_crosswalk
454390,459991,official_crosswalk
453998,459991,official_crosswalk
454110,459991,official_crosswalk
454390,459999,official_crosswalk
454110,459999,official_crosswalk
453998,459999,official_crosswalk
481111,481111,self_mapping
481112,481112,self_mapping
481211,481211,self_mapping
481212,481212,self_mapping
481219,481219,self_mapping
482111,482111,self_mapping
482112,482112,self_mapping
483111,483111,self_mapping
483112,483112,self_mapping
483113,483113,self_mapping
483114,483114,self_mapping
483211,483211,self_mapping
483212,483212,self_mapping
484110,484110,self_mapping
484121,484121,self_mapping
484122,484122,self_mapping
484210,484210,self_mapping
484220,484220,self_mapping
484230,484230,self_mapping
485111,485111,self_mapping
485112,485112,self_mapping
485113,485113,self_mapping
485119,485119,self_mapping
485210,485210,self_mapping
485310,485310,self_mapping
485320,485320,self_mapping
485410,485410,self_mapping
485510,485510,self_mapping
485991,485991,self_mapping
485999,485999,self_mapping
486110,486110,self_mapping
486210,486210,self_mapping
486910,486910,self_mapping
486990,486990,self_mapping
487110,487110,self_mapping
487210,487210,self_mapping
487990,487990,self_mapping
488111,488111,self_mapping
488119,488119,self_mapping
488190,488190,self_mapping
488210,488210,self_mapping
488310,488310,self_mapping
488320,488320,self_mapping
488330,488330,self_mapping
488390,488390,self_mapping
488410,488410,self_mapping
488490,488490,self_mapping
488510,488510,self_mapping
488991,488991,self_mapping
488999,488999,self_mapping
491110,491110,self_mapping
492110,492110,self_mapping
492210,492210,self_mapping
493110,493110,self_mapping
493120,493120,self_mapping
493130,493130,self_mapping
493190,493190,self_mapping
512110,512110,self_mapping
512120,512120,self_mapping
512131,512131,self_mapping
512132,512132,self_mapping
512191,512191,self_mapping
512199,512199,self_mapping
512230,512230,self_mapping
512240,512240,self_mapping
512250,512250,self_mapping
512290,512290,self_mapping
519130,513110,official_crosswalk
511110,513110,official_crosswalk
519130,513120,official_crosswalk
511120,513120,official_crosswalk
519130,513130,official_crosswalk
