Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Ethiopia,335999,335929,4410.0,Africa,1,,,335999,exact,335920,level_5,both_mapped_different
Latvia,327991,327390,4404.0,Europe,1,,,327991,exact,327390,level_5,both_mapped_different
Lithuania,322120,322299,4402.0,Europe,1,,,322120,level_5,322299,exact,both_mapped_different
Ethiopia,335220,333414,4400.0,Africa,1,,,335220,exact,333414,exact,both_mapped_different
Poland,333996,333618,4367.0,Europe,1,,,33399B,exact,333618,exact,both_mapped_different
Bangladesh,325411,111339,4363.0,Asia,1,,,325411,exact,111300,level_4,both_mapped_different
"Korea, South",316990,339999,4356.0,Asia,1,,,316000,level_3,339990,level_5,both_mapped_different
Portugal,332721,333111,4350.0,Europe,1,,,332720,level_5,333111,exact,both_mapped_different
"Korea, South",313230,327215,4349.0,Asia,1,,,313200,level_4,327200,level_4,both_mapped_different
Thailand,339113,314120,4349.0,Asia,1,,,339113,exact,314120,level_5,both_mapped_different
New Zealand,325998,325620,4338.0,Oceana,1,,,3259A0,level_5,325620,level_5,both_mapped_different
Bulgaria,336350,335312,4335.0,Europe,1,,,336350,level_5,335312,exact,both_mapped_different
Bulgaria,325998,325613,4328.0,Europe,1,,,3259A0,level_5,325610,level_5,both_mapped_different
Pakistan,339113,337127,4322.0,Asia,1,,,339113,exact,337127,exact,both_mapped_different
Poland,325199,311225,4322.0,Europe,1,,,325190,level_5,311225,exact,both_mapped_different
Trinidad and Tobago,335312,334419,4312.0,South_America,1,,,335312,exact,33441A,exact,both_mapped_different
Vietnam,336390,333111,4299.0,Asia,1,,,336390,level_5,333111,exact,both_mapped_different
Sierra Leone,339113,337127,4294.0,Africa,1,,,339113,exact,337127,exact,both_mapped_different
Turkey,314999,990000,4292.0,Europe,2,,,314900,level_4,S00300,noncomparable_imports,both_mapped_different
Argentina,332215,339910,4284.0,South_America,1,,,332200,level_4,339910,level_5,both_mapped_different
Honduras,322220,332999,4276.0,South_America,1,,,322220,level_5,332999,exact,both_mapped_different
Italy,327212,314994,4271.0,Europe,2,,,327200,level_4,314900,level_4,both_mapped_different
Portugal,339113,322291,4261.0,Europe,1,,,339113,exact,322291,exact,both_mapped_different
United Kingdom,339940,323111,4257.0,Europe,1,,,339940,level_5,323110,level_5,both_mapped_different
Greece,339994,314120,4256.0,Europe,1,,,339990,level_5,314120,level_5,both_mapped_different
Netherlands,327991,327120,4256.0,Europe,1,,,327991,exact,327100,level_4,both_mapped_different
Slovenia,339112,335999,4250.0,Europe,1,,,339112,exact,335999,exact,both_mapped_different
Turkey,324199,325998,4249.0,Europe,2,,,324190,level_5,3259A0,level_5,both_mapped_different
Singapore,322120,322299,4236.0,Asia,1,,,322120,level_5,322299,exact,both_mapped_different
Denmark,325620,325611,4234.0,Europe,1,,,325620,level_5,325610,level_5,both_mapped_different
Estonia,333515,333991,4232.0,Europe,1,,,33351B,exact,333991,exact,both_mapped_different
Serbia,339113,315990,4221.0,Europe,1,,,339113,exact,315000,level_3,both_mapped_different
Slovakia,339940,326199,4210.0,Europe,1,,,339940,level_5,326190,level_5,both_mapped_different
"Korea, South",321219,327390,4200.0,Asia,1,,,321200,level_4,327390,level_5,both_mapped_different
Norway,332216,332111,4186.0,Europe,1,,,332200,level_4,33211A,exact,both_mapped_different
Belgium,333995,333618,4184.0,Europe,1,,,33399B,exact,333618,exact,both_mapped_different
Netherlands,990000,337212,4179.0,Europe,1,,,S00300,noncomparable_imports,33721A,exact,both_mapped_different
Czech Republic,332216,332111,4170.0,Europe,1,,,332200,level_4,33211A,exact,both_mapped_different
Honduras,335932,326199,4170.0,South_America,1,,,335930,level_5,326190,level_5,both_mapped_different
Vietnam,339999,326199,4168.0,Asia,1,,,339990,level_5,326190,level_5,both_mapped_different
Georgia,332510,335999,4167.0,Europe,1,,,332500,level_4,335999,exact,both_mapped_different
Christmas Island,337215,337127,4160.0,Oceana,1,,,337215,exact,337127,exact,both_mapped_different
Dominican Republic,332510,335999,4158.0,South_America,1,,,332500,level_4,335999,exact,both_mapped_different
Afghanistan,339994,314120,4150.0,Asia,1,,,339990,level_5,314120,level_5,both_mapped_different
Macau,335999,334419,4148.0,Asia,1,,,335999,exact,33441A,exact,both_mapped_different
South Africa,325992,990000,4142.0,Africa,1,,,3259A0,level_5,S00300,noncomparable_imports,both_mapped_different
Netherlands,339999,321999,4140.0,Europe,1,,,339990,level_5,3219A0,level_5,both_mapped_different
Panama,333515,333517,4128.0,South_America,1,,,33351B,exact,333517,exact,both_mapped_different
Uganda,325411,111339,4100.0,Africa,1,,,325411,exact,111300,level_4,both_mapped_different
Norway,910000,325199,4096.0,Europe,1,,,S00300,noncomparable_imports,325190,level_5,both_mapped_different
Belgium,990000,315190,4082.0,Europe,1,,,S00300,noncomparable_imports,315000,level_3,both_mapped_different
Lithuania,332111,332999,4074.0,Europe,1,,,33211A,exact,332999,exact,both_mapped_different
Finland,335220,332216,4073.0,Europe,1,,,335220,exact,332200,level_4,both_mapped_different
Slovenia,334510,335999,4073.0,Europe,1,,,334510,exact,335999,exact,both_mapped_different
"Korea, South",336310,333618,4066.0,Asia,1,,,336310,level_5,333618,exact,both_mapped_different
Australia,335932,327212,4051.0,Oceana,1,,,335930,level_5,327200,level_4,both_mapped_different
Ukraine,326140,326113,4041.0,Europe,1,,,326140,level_5,326110,level_5,both_mapped_different
United Arab Emirates,333515,333991,4041.0,Asia,1,,,33351B,exact,333991,exact,both_mapped_different
Czech Republic,333415,337127,4030.0,Europe,1,,,333415,exact,337127,exact,both_mapped_different
San Marino,322230,323111,4017.0,Europe,1,,,322230,level_5,323110,level_5,both_mapped_different
Brazil,334515,333999,4008.0,South_America,1,,,334515,exact,33399A,exact,both_mapped_different
Poland,313230,327212,4002.0,Europe,1,,,313200,level_4,327200,level_4,both_mapped_different
Azerbaijan,321911,337215,4000.0,Europe,1,,,321910,level_5,337215,exact,both_mapped_different
Bahamas,334111,334118,4000.0,South_America,1,,,334111,exact,334118,exact,both_mapped_different
Bahamas,990000,325413,4000.0,South_America,1,,,S00300,noncomparable_imports,325413,exact,both_mapped_different
Chile,325920,332993,4000.0,South_America,1,,,3259A0,level_5,33299A,exact,both_mapped_different
Estonia,334419,334310,4000.0,Europe,1,,,33441A,exact,334300,level_4,both_mapped_different
Indonesia,334515,333999,4000.0,Asia,1,,,334515,exact,33399A,exact,both_mapped_different
Marshall Islands,339999,321999,4000.0,Oceana,1,,,339990,level_5,3219A0,level_5,both_mapped_different
Qatar,339930,339910,4000.0,Asia,1,,,339930,level_5,339910,level_5,both_mapped_different
Serbia,336390,336214,4000.0,Europe,1,,,336390,level_5,336214,exact,both_mapped_different
Turkey,336412,336413,4000.0,Europe,1,,,336412,exact,336413,exact,both_mapped_different
Belgium,333992,331491,3991.0,Europe,1,,,33399A,exact,331490,level_5,both_mapped_different
France,339940,322121,3991.0,Europe,1,,,339940,level_5,322120,level_5,both_mapped_different
Germany,321999,113310,3969.0,Europe,1,,,3219A0,level_5,113000,level_3,both_mapped_different
Mongolia,336350,335312,3969.0,Asia,1,,,336350,level_5,335312,exact,both_mapped_different
Vietnam,334516,334519,3969.0,Asia,1,,,334516,exact,33451A,exact,both_mapped_different
Hong Kong,322220,332999,3961.0,Asia,1,,,322220,level_5,332999,exact,both_mapped_different
Colombia,332991,332722,3960.0,South_America,1,,,332991,exact,332720,level_5,both_mapped_different
Belgium,339113,315280,3956.0,Europe,2,,,339113,exact,315000,level_3,both_mapped_different
India,336211,336111,3950.0,Asia,1,,,336211,exact,336111,exact,both_mapped_different
Jordan,334512,334513,3943.0,Asia,1,,,334512,exact,334513,exact,both_mapped_different
Qatar,332112,332999,3939.0,Asia,1,,,33211A,exact,332999,exact,both_mapped_different
Ukraine,332111,332999,3930.0,Europe,1,,,33211A,exact,332999,exact,both_mapped_different
Denmark,324199,325998,3929.0,Europe,1,,,324190,level_5,3259A0,level_5,both_mapped_different
United Kingdom,327910,332999,3928.0,Europe,1,,,327910,level_5,332999,exact,both_mapped_different
Netherlands,336120,336211,3926.0,Europe,1,,,336120,level_5,336211,exact,both_mapped_different
Cocos (Keeling) Islands,339930,339910,3925.0,Oceana,1,,,339930,level_5,339910,level_5,both_mapped_different
