Country,iso3,HS_Section,sector_code,impVal,bea_total,weight
Armenia,ARM,9,33DG,387341.0,89025294.0,0.004350909529150221
Armenia,ARM,11,33DG,1180.0,89025294.0,1.325465996214514e-05
Armenia,ARM,12,33DG,6550.0,89025294.0,7.357459555258531e-05
Armenia,ARM,13,33DG,77984.0,89025294.0,0.0008759757648202769
Armenia,ARM,14,33DG,82070120.0,89025294.0,0.9218741810613958
Armenia,ARM,15,33DG,2374142.0,89025294.0,0.026668173654107785
Armenia,ARM,16,33DG,939451.0,89025294.0,0.010552630132285775
Armenia,ARM,17,33DG,14647.0,89025294.0,0.0001645262749707965
Armenia,ARM,18,33DG,2035851.0,89025294.0,0.022868231134400972
Armenia,ARM,20,33DG,988957.0,89025294.0,0.011108719281511163
Armenia,ARM,21,33DG,2008.0,89025294.0,2.2555387461006306e-05
Armenia,ARM,21,Other,3021911.0,3021911.0,1.0
Aruba,ABW,6,31ND,1121496.0,1151722.0,0.9737558195467308
Aruba,ABW,7,31ND,4952.0,1151722.0,0.004299648699946689
Aruba,ABW,8,31ND,6097.0,1151722.0,0.00529381222204664
Aruba,ABW,10,31ND,18088.0,1151722.0,0.01570517885392482
Aruba,ABW,11,31ND,789.0,1151722.0,0.0006850611519099227
Aruba,ABW,20,31ND,300.0,1151722.0,0.00026047952544103523
Aruba,ABW,9,33DG,4000.0,631161.0,0.006337527191952608
Aruba,ABW,13,33DG,47460.0,631161.0,0.07519476013251769
Aruba,ABW,14,33DG,111990.0,631161.0,0.17743491755669313
Aruba,ABW,15,33DG,21183.0,631161.0,0.033561959626783024
Aruba,ABW,16,33DG,174686.0,631161.0,0.2767693187633583
Aruba,ABW,17,33DG,4300.0,631161.0,0.006812841731349053
Aruba,ABW,18,33DG,259083.0,631161.0,0.4104863893681644
Aruba,ABW,20,33DG,8459.0,631161.0,0.013402285629181778
Aruba,ABW,7,Other,16648.0,8921785.0,0.0018659943049513074
Aruba,ABW,14,Other,576954.0,8921785.0,0.06466800085408918
Aruba,ABW,15,Other,82285.0,8921785.0,0.00922293016475963
Aruba,ABW,17,Other,44992.0,8921785.0,0.005042937035582005
Aruba,ABW,21,Other,8200906.0,8921785.0,0.9192001376406179
Australia,AUS,1,11,141418261.0,248343333.0,0.5694465774122472
Australia,AUS,2,11,105640701.0,248343333.0,0.42538166708103253
Australia,AUS,3,11,332701.0,248343333.0,0.0013396816253569408
Australia,AUS,7,11,4210.0,248343333.0,1.695233751251941e-05
Australia,AUS,9,11,68148.0,248343333.0,0.0002744104267941028
Australia,AUS,11,11,52872.0,248343333.0,0.0002128988097296737
Australia,AUS,14,11,826440.0,248343333.0,0.0033278123073269697
