"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"June 30, 2025"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
452,General merchandise stores,93,35,0,17,7,3,159,0,34,394,19,589,53,36,779,13,18,12,3,3,19,14,40,4,56,1,3,1,2,7,7,0,1,0,164,6,18,17,32,5,48,41,0,3,0,16,71,3,6,3,0,65,12,1,3,2,3,5,5,3,5,4,0,0,54,44,9,22,15,21,2,81,7,0,11,0,866,158,0,25,78,2,2,1,2,0,1,2,0,2,7,18,10,0,0,5,0,406,0,246,86,1,4,1,5,9,11,13,7,0,3,392,18,4,38,2,3,0,2,4,9,1,4,3,5,83,430,266,14,21,0,0,6,0,18,0,1,0,6524,289761,2899,881,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293815,300339
444,Building material and garden equipment and supplies dealers,4,2,0,37,8,1,28,2,368,19473,332,38544,3336,1190,29946,751,149,4,6,1,46,6,19,2,296,5,4,6,6,59,59,0,5,0,232,4,8,104,226,4,181,150,3,12,1,30,1,31,82,30,2,429,47,0,0,0,0,0,0,0,0,0,0,0,154,83,3,59,21,86,0,29,2,2,3,0,59,6,0,1,3,2,1,0,1,0,1,3,0,0,0,4,3,0,0,0,0,3256,0,1349,100,0,1,0,0,8,9,5,6,0,1,592,7,1,4,0,0,0,0,77,2,27,0,314,230,7,4912,920,5,11,0,0,0,0,0,0,0,0,108642,72190,17804,1,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92328,200970
446,Health and personal care stores,0,0,0,0,0,0,0,0,0,5,0,7,1,1,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,2,0,9,0,8,1,0,1,0,1,1,0,1,1,0,0,11,3,0,1,1,1,0,0,0,3,0,1,0,0,24,30,2,1,1,0,0,0,0,3,0,0,0,205,163135,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163191,163396
447,Gasoline stations,1144,404,0,4,3,1,1948,3,8,19,1,14,0,1,9,80,4,2,1,1,4,4,12,1,6,0,1,0,1,0,0,0,0,0,41,2,5,1,1,2,8,7,0,0,0,4,1,7,54,20,1,3,2,0,0,0,0,0,0,0,0,0,0,0,156,9,2,4,5,2,0,16,1,0,123,12,9898,1931,0,303,966,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,12,17,0,0,0,0,2,3,1,1,0,0,56,2,1,0,0,0,0,0,0,0,0,0,0,0,1,7,52,3,5,0,0,0,2,2,0,0,0,17434,112436,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112453,129887
448,Clothing and clothing accessories stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,170142,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170152,170177
454,Nonstore retailers,13,5,0,55,91,9,311,28,107,918,49,1255,120,77,1254,6,74,23,8,9,63,45,131,12,193,3,10,4,7,26,26,0,3,0,519,21,58,58,112,18,162,138,1,16,0,52,903,163,1196,435,25,222,48,18,36,28,34,66,58,42,61,56,6,0,1064,134,711,77,93,52,16,608,307,1,3,533,1168,24,3,6,325,7,5,6,11,0,5,6,1,20,87,216,125,0,1,68,0,1432,0,723,175,13,43,16,64,55,43,70,49,0,22,817,130,20,98,26,38,5,11,36,121,15,48,10,22,1076,2753,844,68,112,0,1,23,0,156,2,11,0,24318,541344,16168,16922,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575385,599703
4A0X,All other retail,1,0,0,5,1,0,4,0,8,1390,12,3962,60,26,1017,2,286,0,1,0,7,1,2,0,43,1,1,1,1,9,9,0,1,1,31,0,1,15,33,0,26,22,0,24,0,4,420,3,1,0,0,63,11,9,17,13,16,31,26,20,29,27,3,0,31,24,7,11,10,17,6,78,11,0,0,0,12,2,2,1,1,0,1,2,3,0,1,1,0,9,41,99,59,0,0,32,0,480,0,262,21,8,18,8,31,17,7,45,18,0,8,194,55,5,22,14,18,3,10,170,62,61,25,4,8,514,1667,223,16,29,0,1,31,0,92,3,4,0,12312,252228,12069,6163,6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277193,289505
481,Air transportation,176,32,13,81,36,98,370,149,95,413,152,234,155,31,138,98,202,605,245,108,362,29,27,27,249,5,13,21,47,2,83,37,295,26,296,172,60,92,73,77,697,97,28,36,8,196,135,112,156,79,47,269,473,2316,366,683,743,1132,299,543,46,844,130,0,220,60,65,45,33,29,33,318,49,267,18,190,3091,75,10,1534,61,337,152,270,201,35,81,245,120,1205,541,5074,2549,1,19,100,363,6,6,10246,1880,578,3374,695,940,794,581,460,551,325,1238,899,1570,425,678,1991,190,126,197,318,457,273,744,122,305,177,2313,97,144,341,0,6905,5095,411,1179,922,1550,129,81482,196052,1427,196,12,0,8,90190,-63639,0,93,8,0,0,19,9,0,0,74,21,0,224470,305952
482,Rail transportation,1664,1184,33,761,640,110,2426,171,323,634,341,760,326,92,611,373,1033,2189,3246,500,1114,74,102,46,391,2,7,41,19,1,315,37,626,41,754,107,207,267,95,179,6775,391,33,74,4,2386,139,2162,2292,1173,19,1457,2122,27,12,24,34,57,9,48,10,95,6,0,33,47,20,18,6,20,8,52,19,206,244,28,4961,34,7,245,53,28,11,13,7,8,151,70,3,18,54,55,52,0,90,8,5,106,1,298,126,30,47,28,215,158,283,30,87,25,42,521,170,61,71,155,16,87,17,217,258,68,237,19,82,85,1431,88,48,49,0,303,1501,958,787,994,1080,2412,60956,10206,2813,0,40,0,381,13506,636,0,418,0,0,0,407,0,0,0,1081,0,0,29488,90444
483,Water transportation,706,437,6,549,142,36,220,10,31,348,137,321,107,32,172,332,12,393,424,146,158,7,10,5,54,0,2,11,4,0,75,2,29,2,70,17,8,16,18,45,1803,111,21,24,0,92,2,162,523,29,5,288,131,2,1,4,1,7,0,2,0,12,1,0,21,8,4,4,1,6,3,17,5,36,9,5,26,3,9,4,8,20,1,14,1,1,3,13,1,2,18,5,3,0,0,0,1,15,0,68,24,0,7,1,33,1,968,2,12,27,0,141,19,23,62,80,5,38,1,43,102,15,42,4,22,16,117,21,12,13,0,2094,302,1483,145,332,479,246,15582,30383,8,0,0,0,21,7124,15757,0,0,0,0,0,0,0,0,0,1,0,0,53294,68876
484,Truck transportation,4443,8009,537,2033,1528,348,1700,253,2939,4701,4839,8852,5389,993,5787,3609,3411,4884,6966,3034,4645,383,422,360,3333,82,232,494,463,76,1841,500,3865,429,4673,1921,605,1443,599,905,36483,1856,669,845,245,3654,859,8745,3805,1143,1218,2096,3404,817,534,1133,700,1692,2029,1079,357,1631,224,0,3562,1625,1202,383,223,1342,983,5030,1113,1894,491,200,16561,460,90,5736,473,1434,450,667,142,284,510,621,63,717,1003,243,237,54,80,287,39,154,7,1134,1341,170,672,161,1388,1187,2095,377,659,370,135,1449,1024,605,664,970,250,268,389,601,2560,532,1362,274,639,683,4582,1639,909,586,0,7434,1080,1530,3813,1872,3252,2227,275987,132446,29078,1739,1112,5,-38,38651,7747,0,983,70,0,0,223,83,0,0,1035,185,0,213319,489306
485,Transit and ground passenger transportation,0,0,1,2,5,70,184,660,15,268,143,281,83,9,251,65,118,145,89,47,212,11,8,19,113,0,0,1,15,0,18,10,33,1,111,21,23,61,57,38,262,38,11,8,2,101,97,52,61,24,3,24,206,335,219,277,238,376,48,408,0,414,0,0,206,8,40,50,0,39,1,166,0,1,288,0,0,0,5,256,0,8,106,248,164,19,57,465,111,1636,423,6346,2462,735,419,118,335,0,15,11211,2068,781,4106,745,1058,1985,636,475,603,338,1596,367,2055,357,831,3172,145,99,160,259,4932,853,585,3859,206,193,2577,41,101,356,0,86,18,34,17609,222,3222,1050,90110,69538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69538,159648
486,Pipeline transportation,189,40,7,9185,54,18,4769,8105,40,131,59,137,80,36,79,65,14,12,24,2,23,0,6,0,10,0,0,1,1,0,7,0,1,0,5,3,0,4,5,10,39,8,6,6,0,26,12,16691,298,42,2,133,18,11,3,21,5,16,1,10,5,31,2,0,21,8,4,10,2,6,2,11,5,800,78,105,388,74,5,69,189,65,1,10,2,1,1,6,1,9,6,74,71,0,0,2,17,7,0,91,43,1,25,1,16,2,10,1,5,14,1,143,20,39,57,9,0,2,2,8,29,14,23,5,25,16,89,14,16,23,0,289,32,536,1066,113,908,8978,55224,5213,0,0,0,0,442,14198,0,0,0,0,0,0,0,0,0,0,0,0,0,19853,75077
48A,Scenic and sightseeing transportation and support activities,0,0,62,33,384,3,6270,813,0,0,0,0,0,0,0,0,998,1035,72,96,71,6,0,0,7,0,0,0,0,0,3,0,0,0,12,0,0,257,16,148,507,52,0,61,0,660,345,788,4,89,0,64,740,2916,1815,4284,2598,5502,2034,2159,624,5651,472,0,1695,628,236,938,450,256,386,4401,1128,28948,1043,2884,44919,1169,1073,25719,14544,4618,422,40,322,2,16,76,15,998,1016,29,16,0,0,2,0,0,0,0,1949,232,514,282,123,637,3859,592,387,801,125,58,927,1639,195,492,66,45,195,187,2057,149,425,328,757,70,551,60,175,194,0,0,212,1266,119,25,337,3644,203314,12524,0,0,0,0,0,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,16346,219660
492,Couriers and messengers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,3591,4106,8813,5666,10455,4534,4653,1338,9243,850,0,1780,1332,455,851,858,485,813,9507,1400,1,1,504,25394,771,88,320,1678,1652,931,88,707,0,2,0,27,2776,2201,1247,5341,0,8,94,0,0,0,0,6951,490,1013,623,272,1074,524,1239,567,6,271,104,2019,362,493,1065,143,100,368,373,4477,324,1340,449,146,81,1196,83,401,564,0,1,0,24,183,67,318,324,142623,9631,0,0,0,0,0,15611,3889,0,0,0,0,0,0,0,0,0,0,0,0,29131,171754
493,Warehousing and storage,468,252,0,9,106,0,316,274,0,0,0,0,0,0,0,0,1289,1917,38,60,575,31,13,25,348,7,78,64,169,7,95,2,42,5,81,88,20,106,204,226,2362,1383,0,1092,250,2620,894,769,931,377,58,667,3508,3261,3772,7341,3144,6680,3454,3314,2076,5400,1532,0,13534,8320,5971,1558,621,7009,4527,21866,4229,66,1,945,9288,420,311,542,733,7089,403,137,293,277,141,47,27,1237,812,0,0,0,0,33,0,0,1,996,1601,205,408,237,125,398,289,418,189,14,6406,2472,3087,401,151,394,99,42,201,196,2031,206,348,271,153,98,2629,296,361,215,0,440,1296,0,2164,2493,3870,173,187611,229,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,406,188017
5111,"Newspaper, periodical, book, and directory publishers",1,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,22,0,1,0,0,0,0,2,1,0,0,0,0,0,13,0,0,0,0,2,0,70,42,44,32,78,25,36,3,26,33,0,8,20,5,33,9,30,2,150,3,1,1,0,19,0,0,548,3,16,2812,10,13,0,4,25,0,25,192,98,163,29,52,2,9,0,0,238,726,205,59,83,35,142,226,57,42,167,14,15,143,1,308,235,12,7,772,48,185,27,588,11,14,34,104,4,117,78,0,83,957,16,6127,199,200,2,17008,51670,0,10435,0,0,-1902,3968,-3433,0,0,0,0,0,0,0,0,0,0,0,0,60738,77746
5112,Software publishers,53,15,0,41,1,4,121,195,93,253,90,465,202,91,201,107,39,0,11,10,83,3,4,2,38,43,2,3,15,1,0,0,0,0,8,301,15,11,22,13,11,0,0,0,0,7,35,6,5,6,9,4,10,188,626,1135,747,1010,87,196,76,330,21,0,756,51,307,117,87,65,50,512,121,11,70,0,24,45,0,23,0,142,180,50526,48,52,148,342,169,2225,1534,599,1254,452,64,381,89,0,0,979,158,1089,2157,149,1974,1271,1791,235,543,326,949,589,1392,45,758,337,32,20,76,58,2510,134,495,73,127,142,185,100,164,259,0,0,919,5,2248,1780,2898,517,94993,102450,0,158362,0,0,-1357,33149,-2243,0,0,6417,0,0,0,7569,0,0,0,16865,0,321212,416205
512,Motion picture and sound recording industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,73,0,0,0,0,0,0,724,370,0,0,0,5,0,0,0,6,0,0,4,0,53,25,0,0,1,215,37064,18662,36308,30,0,26,0,69,52,0,0,0,0,0,0,149,193,12,89,6,5,37,19,4117,557,455,0,50,75,0,713,65,10,5,11,8,28,1105,2308,494,84,777,6008,4,128,404,0,36,1622,64,220,52,317,0,113931,21631,0,52887,0,0,313,26267,-14872,0,0,0,0,0,0,0,0,0,0,0,0,86226,200157
515,Broadcasting (except Internet),0,0,0,175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44141,3796,0,0,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,0,0,0,0,0,686,208,192,5086,0,2021,0,64882,14599,0,35532,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,50160,115042
5171,Wired telecommunications carriers,73,98,4,141,34,85,290,79,109,477,210,725,257,118,405,140,179,326,76,58,477,19,55,14,335,10,22,19,68,0,58,1,2,1,94,490,43,59,100,124,337,63,14,22,20,116,181,22,43,27,41,66,207,289,316,623,575,767,292,450,88,661,78,0,996,238,146,338,307,287,230,828,386,456,0,140,668,433,1099,504,4,87,208,528,270,262,15773,13600,7715,1478,7288,2401,2862,112,1837,258,740,0,8,8368,1427,1400,1341,275,1004,1097,343,612,1456,582,577,1721,2502,329,914,647,103,275,494,421,1017,459,280,284,633,615,4377,535,1090,764,0,716,917,859,14264,9530,8496,436,144820,209281,7758,0,0,0,0,7058,-117,0,0,0,0,0,0,0,0,0,0,0,0,223980,368800
5172,Wireless telecommunications carriers (except satellites),94,87,1,163,27,47,255,132,133,648,354,1064,408,139,474,262,103,121,65,41,292,3,11,10,155,6,14,9,23,0,64,4,23,1,129,255,38,95,60,66,326,89,25,26,15,94,148,15,30,15,21,43,130,438,531,938,929,1016,372,473,117,793,120,0,1088,367,187,381,389,401,293,1198,483,531,13,1,1032,217,29,696,3,74,196,770,174,156,52,4935,787,1684,577,6035,3039,0,104,325,226,0,3,9737,1648,1523,2111,381,1434,1850,655,478,1484,801,1381,2367,3628,403,1359,1229,192,407,261,611,1177,654,579,292,740,393,2820,462,1503,861,0,4065,4892,114,5686,3470,18522,259,119455,150314,0,0,0,0,0,4448,0,0,0,0,0,0,0,0,0,0,0,0,0,154762,274217
5174OT,"Other telecommunications, including satellite",21,25,1,27,6,14,97,18,27,129,50,169,63,18,99,23,9,97,7,21,102,0,14,5,49,5,4,4,8,0,11,3,21,3,106,56,3,0,10,16,196,87,85,19,5,54,24,25,25,56,8,51,62,71,134,176,134,140,50,60,14,107,19,0,159,45,25,43,48,47,26,202,15,89,56,0,175,44,340,160,0,16,19,212,26,38,50,796,384,280,1043,614,805,46,2,42,22,0,3,2001,434,227,404,63,217,243,80,78,116,164,178,407,510,397,153,161,27,34,125,64,326,68,28,18,49,74,191,115,104,136,0,164,209,152,989,339,1335,710,19905,15932,0,0,0,0,0,719,-15,0,0,0,0,0,0,0,0,0,0,0,0,16636,36541
518,"Data processing, hosting, and related services",0,0,0,86,9,6,4126,302,55,1062,242,825,583,147,549,207,1143,1441,560,578,2143,162,221,43,1644,9,24,32,132,3,567,4,73,1,670,2324,310,661,466,442,2162,383,78,144,47,1171,421,268,194,74,84,191,696,87,612,1108,869,1167,424,640,239,1065,203,0,7939,1810,1003,1577,1305,2432,1120,8168,1573,537,0,0,266,492,146,822,203,288,486,2733,162,418,1038,2800,180,4902,3601,21909,7503,320,1043,1063,3165,0,1,1574,938,3998,8045,962,2834,3176,4997,1612,1396,1225,14126,5536,17810,2262,1449,953,53,49,388,108,3824,286,1010,1212,1616,1121,17783,813,1537,4346,0,1964,9748,707,4183,17992,29674,3135,289626,88298,0,69967,0,0,0,1686,-817,0,0,3430,0,0,0,4045,0,0,0,8778,0,175387,465013
519,Other information services,0,0,0,2,0,5,64,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,13,7,13,4,4,0,12,2,0,706,273,702,84,117,239,86,385,112,8,0,0,28,0,0,122,0,2,1827,219,61,12,62,349,70,534,18949,191,173,248,857,37,730,0,1,419,1652,1061,846,555,551,2769,843,743,4110,664,851,746,7360,282,7197,965,74,32,25,115,1455,199,563,403,459,368,4320,113,4592,455,0,381,13,172,1572,652,1847,1266,78034,53144,0,0,0,0,0,6556,-1714,0,0,0,0,0,0,0,0,0,0,0,0,57986,136020
521CI,"Federal Reserve banks, credit intermediation, and related activities",2453,2155,392,2600,630,479,6118,2035,1413,2610,1589,3081,2092,933,2036,1308,1193,1049,884,854,2085,148,114,74,1332,300,494,681,970,62,1218,134,2835,148,1303,1127,297,714,1122,992,4287,1823,1060,331,812,1208,717,1635,1727,863,675,1738,2182,4411,4392,5732,5892,7561,1930,3919,2124,5742,1296,0,6441,2316,2689,1059,1624,1928,1562,3200,2241,1600,5612,623,2528,6218,4416,2140,963,352,2073,5285,11578,2186,3071,2925,736,4081,5440,106018,84379,106,650,113,10377,144644,5555,99683,20750,2017,4973,3242,3825,3734,7015,2376,3278,28579,2384,2179,5352,1089,1620,3967,628,330,1232,980,6583,1075,1242,1203,2890,5547,17331,1421,1651,9940,0,0,9316,1512,0,1988,22542,4822,839136,400515,0,0,0,0,0,93929,-11591,0,0,0,0,0,0,0,0,0,0,0,0,482853,1321989
523,"Securities, commodity contracts, and investments",148,197,10,117,3185,10992,416,254,32,356,253,537,231,27,650,190,55,80,1473,1225,2535,222,84,80,1726,0,1,15,96,1,507,53,674,104,1794,359,345,730,486,566,156,17,3,6,2,36,35,42,8,10,1,8,108,957,529,870,340,699,35,445,20,614,24,0,185,180,168,73,125,228,135,234,140,2249,447,983,627,4329,337,2880,24,56,304,101,769,95,26,120,4,149,46,68247,56822,4756,19,0,146178,2,3,12472,9755,611,967,1047,271,738,501,299,578,13507,208,349,1413,59,376,1174,167,97,307,399,16166,484,3497,1485,164,186,27321,48,76,4535,0,0,0,24,0,0,885,7306,434284,297968,0,0,0,0,0,81675,-48,0,0,0,0,0,0,0,0,0,0,0,0,379595,813879
524113,Direct life insurance carriers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116049,116049
5241X,"Insurance Carriers, except Direct Life Insurance",2246,814,236,3141,207,826,285,148,20,377,19,49,21,7,32,14,33,284,39,129,229,16,27,6,238,2,1,17,18,21,226,71,685,35,249,206,482,78,63,65,696,291,197,43,24,63,53,72,161,43,112,275,177,5550,3983,5422,4237,4612,5186,3226,3595,3731,1496,0,3184,891,1147,715,452,1093,242,1585,675,686,7,856,15353,3181,484,1375,427,1283,163,205,707,3,73,30,457,412,590,2428,8542,8137,49968,360,130,11269,79,78529,14009,2324,2456,1927,2557,1465,1145,512,1050,157,706,3642,2387,1301,1294,10562,489,641,1076,2068,19191,3983,8778,1597,2020,1265,10996,379,861,1075,0,0,913,182,1008,1995,571,3838,361045,380771,0,0,3264,0,0,25583,-63774,0,0,0,0,0,0,0,0,0,0,0,0,345844,706889
5242,"Agencies, brokerages, and other insurance related activities",460,211,49,256,418,146,707,481,0,114,0,0,0,0,0,0,330,948,168,566,877,96,69,14,1051,5,1,60,78,74,791,42,2451,146,968,140,144,386,251,237,2488,1240,598,220,93,400,35,321,353,180,460,904,736,179,212,349,309,938,361,257,1517,896,338,0,1580,584,514,748,766,210,710,1424,1634,120,30,145,72,12649,60,2533,65,957,111,0,947,17,0,104,1426,180,329,5069,5509,20085,211736,201345,17333,0,1,510,3199,198,752,391,253,945,516,182,1206,279,53,601,1971,202,3014,124,77,204,279,699,104,217,1297,1057,721,232,445,111,380,377,0,0,0,8614,0,312,0,11150,555784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555784
525,"Funds, trusts, and other financial vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,1490,3474,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,5741,240778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240778,246519
HSO,Owner-occupied housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231294,2231294
HST,Tenant-occupied housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670731,0,0,0,0,0,5933,0,0,0,0,0,0,0,0,0,0,0,0,0,676664,676664
ORE,Other real estate,1723,1028,29,3287,181,426,5135,2787,1401,5217,2712,10765,2996,825,3230,1556,872,1199,225,460,6507,48,11,56,1696,0,3,3,9,6,805,0,6,0,304,223,375,1501,49,1385,5145,1701,304,588,148,1976,2930,76,59,280,1,762,3743,12975,6996,15435,14561,26601,8312,10017,3749,20171,3001,0,30432,33649,25369,13054,31561,15190,34805,29428,40830,362,174,1453,14192,5461,568,6547,2309,11366,1800,9369,4688,2546,7786,26161,3677,12193,5332,40585,53516,1733,17478,6748,1058,6934,13,233973,27609,21820,12168,9437,18349,11568,79144,8629,13947,46937,10110,14968,14441,5248,40779,36039,8289,6429,10452,8115,98374,36202,23238,18995,29902,9727,104620,19535,58575,36058,0,671,13075,1081,2134,1491,12775,3533,1805376,7416,0,0,153513,47203,0,3359,0,0,0,0,0,0,0,0,0,0,0,0,0,211491,2016867
532RL,Rental and leasing services and lessors of intangible assets,1572,541,92,6811,2426,2555,2481,745,1749,8401,3244,8377,6450,2831,3257,5621,390,1149,674,536,2751,203,98,79,1713,8,11,77,555,1,799,55,868,66,8435,932,640,317,656,749,3310,2529,603,91,2911,1440,638,1501,2210,1437,307,1520,1618,6695,3484,5841,4053,7141,2257,7147,1289,12500,177,0,1811,2151,7060,5737,1130,1180,1122,3999,1222,17373,8290,9450,31144,2493,66,2407,577,4252,2100,1654,1208,5949,2060,2969,1530,16704,7518,6936,14458,48,4457,317,30,6146,62,5230,27291,2742,6193,2889,3462,4693,9923,4548,4005,38516,2033,6001,6276,3442,1774,4711,178,385,761,1049,4943,541,999,3823,3738,2270,41275,974,2070,530,0,504,307,307,1840,8057,825,1248,535577,105495,0,0,0,0,0,96929,0,0,0,0,0,0,0,0,0,0,0,0,0,202424,738001
5411,Legal services,186,188,64,1114,432,206,4432,1134,237,1626,901,2416,1964,297,1215,999,585,507,493,228,1894,63,43,10,854,4,67,50,161,9,130,15,1089,2,315,349,176,317,569,577,1294,128,79,135,93,825,408,494,391,160,40,303,1204,882,2595,4662,2481,3224,2015,1810,761,3285,336,0,1063,812,841,472,832,483,346,3902,624,256,916,236,373,410,83,502,151,366,622,3496,958,724,804,1321,390,2630,4733,8075,17516,2917,8337,3788,2653,2505,1,15438,1824,3036,4848,1210,1935,3072,30230,574,1979,12102,3242,2792,3546,675,695,2250,410,618,485,1788,22286,1904,1387,3114,3742,789,4172,1570,2071,4196,0,0,225,91,4110,4253,11070,1858,287248,131102,0,0,13796,0,0,20484,-5583,0,0,0,0,0,0,0,0,0,0,0,0,159799,447047
