Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Cayman Islands,CYM,31ND,428990.0,North America,RoWorld,4.965597437149329e-07,1.027971395229968e-05,863924241604.0,41731705959.0
Cayman Islands,CYM,33DG,33058768.0,North America,RoWorld,1.6824755630718343e-05,0.0006479288469415286,1964888449235.0,51022219733.0
Cayman Islands,CYM,Other,15782404.0,North America,RoWorld,0.00010758904086776885,0.0017677736618993724,146691557734.0,8927842031.0
Chile,CHL,11,4983074110.0,South America,RoWorld,0.06226272437685712,0.19658386593480506,80033023930.0,25348337140.0
Chile,CHL,21,221742772.0,South America,RoWorld,0.0012866058674689505,0.0069688795520638685,172347085931.0,31818999072.0
Chile,CHL,31ND,2665899941.0,South America,RoWorld,0.00308580291259147,0.06388188260549801,863924241604.0,41731705959.0
Chile,CHL,33DG,8127130308.0,South America,RoWorld,0.004136178983170356,0.1592860983024531,1964888449235.0,51022219733.0
Chile,CHL,Other,471632825.0,South America,RoWorld,0.003215132706240841,0.05282719198686055,146691557734.0,8927842031.0
China,CHN,11,2102101783.0,Asia,CHN,0.026265429941002606,1.0,80033023930.0,2102101783.0
China,CHN,21,154988104.0,Asia,CHN,0.0008992789356592327,1.0,172347085931.0,154988104.0
China,CHN,31ND,97696932975.0,Asia,CHN,0.1130850695815776,1.0,863924241604.0,97696932975.0
China,CHN,33DG,327690260087.0,Asia,CHN,0.16677295864535277,1.0,1964888449235.0,327690260087.0
China,CHN,Other,11303103196.0,Asia,CHN,0.07705353580399113,1.0,146691557734.0,11303103196.0
Christmas Island,CXR,11,19835.0,Asia,RoAsia,2.47835193848835e-07,1.663151986310471e-06,80033023930.0,11926149963.0
Christmas Island,CXR,31ND,17065.0,Asia,RoAsia,1.9752889406502086e-08,7.543299281186256e-08,863924241604.0,226227269579.0
Christmas Island,CXR,33DG,1624158.0,Asia,RoAsia,8.265904360282345e-07,3.0586145195442056e-06,1964888449235.0,531011014831.0
Christmas Island,CXR,Other,86184.0,Asia,RoAsia,5.875184729872452e-07,3.3997608062355806e-06,146691557734.0,25350018696.0
Cocos (Keeling) Islands,CCK,31ND,105697.0,Asia,RoAsia,1.22345218376739e-07,4.672160000723959e-07,863924241604.0,226227269579.0
Cocos (Keeling) Islands,CCK,33DG,565007.0,Asia,RoAsia,2.875516929319713e-07,1.0640212429111655e-06,1964888449235.0,531011014831.0
Cocos (Keeling) Islands,CCK,Other,429940.0,Asia,RoAsia,2.930911680545533e-06,1.6960145282568985e-05,146691557734.0,25350018696.0
Colombia,COL,11,3406342211.0,South America,RoWorld,0.042561708201595876,0.13438128868914043,80033023930.0,25348337140.0
Colombia,COL,21,5942576678.0,South America,RoWorld,0.03448028520992307,0.18676189859250894,172347085931.0,31818999072.0
Colombia,COL,31ND,3631776773.0,South America,RoWorld,0.004203813943520189,0.08702679867839812,863924241604.0,41731705959.0
Colombia,COL,33DG,3902966680.0,South America,RoWorld,0.0019863553483250216,0.07649543082257652,1964888449235.0,51022219733.0
Colombia,COL,Other,806686621.0,South America,RoWorld,0.0054992027725466516,0.09035628298517774,146691557734.0,8927842031.0
Cook Islands,COK,31ND,25347.0,Oceania,RoAsia,2.9339378129892083e-08,1.1204219565205275e-07,863924241604.0,226227269579.0
Cook Islands,COK,33DG,155227.0,Oceania,RoAsia,7.900041351479028e-08,2.9232350302451384e-07,1964888449235.0,531011014831.0
Cook Islands,COK,Other,711545.0,Oceania,RoAsia,4.8506199742609925e-06,2.80688155907465e-05,146691557734.0,25350018696.0
Costa Rica,CRI,11,1683673454.0,North America,RoWorld,0.021037234023202803,0.06642145576260076,80033023930.0,25348337140.0
Costa Rica,CRI,21,5736127.0,North America,RoWorld,3.328241361908774e-05,0.00018027364679260643,172347085931.0,31818999072.0
Costa Rica,CRI,31ND,935164816.0,North America,RoWorld,0.0010824615990213814,0.02240897644871667,863924241604.0,41731705959.0
