Country,sector_code,iso3,impVal
Norway,Other,NOR,500039625.0
Oman,11,OMN,4015177.0
Oman,31ND,OMN,538156751.0
Oman,33DG,OMN,649604249.0
Oman,Other,OMN,128215352.0
Pakistan,11,PAK,18620309.0
Pakistan,21,PAK,35685685.0
Pakistan,31ND,PAK,4577656336.0
Pakistan,33DG,PAK,364117001.0
Pakistan,Other,PAK,127576829.0
Palau,11,PLW,459146.0
Palau,31ND,PLW,400.0
Palau,33DG,PLW,845116.0
Palau,Other,PLW,929551.0
Panama,11,PAN,115276471.0
Panama,21,PAN,1767754.0
Panama,31ND,PAN,87706172.0
Panama,33DG,PAN,106626627.0
Panama,Other,PAN,244443448.0
Papua New Guinea,11,PNG,70215369.0
Papua New Guinea,31ND,PNG,584887.0
Papua New Guinea,33DG,PNG,2370496.0
Papua New Guinea,Other,PNG,5979946.0
Paraguay,11,PRY,64666180.0
Paraguay,31ND,PRY,217067494.0
Paraguay,33DG,PRY,66199353.0
Paraguay,Other,PRY,8219930.0
Peru,11,PER,3744574821.0
Peru,21,PER,869719123.0
Peru,31ND,PER,2465031930.0
Peru,33DG,PER,2118716662.0
Peru,Other,PER,165150225.0
Philippines,11,PHL,105777362.0
Philippines,21,PHL,224951.0
Philippines,31ND,PHL,2916368505.0
Philippines,33DG,PHL,10637866677.0
Philippines,Other,PHL,517390621.0
Pitcairn Islands,11,PCN,5787.0
Pitcairn Islands,Other,PCN,3548.0
Poland,11,POL,130245548.0
Poland,21,POL,1426826.0
Poland,31ND,POL,2128575324.0
Poland,33DG,POL,10795309172.0
Poland,Other,POL,632810200.0
Portugal,11,PRT,27449481.0
Portugal,21,PRT,9429367.0
Portugal,31ND,PRT,4521467345.0
Portugal,33DG,PRT,1842524211.0
Portugal,Other,PRT,188085854.0
Qatar,21,QAT,6100.0
Qatar,31ND,QAT,1272800225.0
Qatar,33DG,QAT,190679546.0
Qatar,Other,QAT,370699856.0
Romania,11,ROU,13134539.0
Romania,21,ROU,14466.0
Romania,31ND,ROU,822697697.0
Romania,33DG,ROU,2953749192.0
Romania,Other,ROU,115416919.0
Russia,11,RUS,18225170.0
Russia,21,RUS,1057365.0
Russia,31ND,RUS,1842255457.0
Russia,33DG,RUS,1133104440.0
Russia,Other,RUS,12858024.0
Samoa,11,WSM,314892.0
Samoa,31ND,WSM,3988316.0
Samoa,33DG,WSM,1209128.0
Samoa,Other,WSM,205338.0
San Marino,31ND,SMR,2497915.0
San Marino,33DG,SMR,19736894.0
San Marino,Other,SMR,2998220.0
Saudi Arabia,11,SAU,24816274.0
Saudi Arabia,21,SAU,8149934871.0
Saudi Arabia,31ND,SAU,3947041935.0
Saudi Arabia,33DG,SAU,316503305.0
Saudi Arabia,Other,SAU,295428774.0
Serbia,11,SRB,2135750.0
Serbia,21,SRB,21206.0
Serbia,31ND,SRB,333283941.0
Serbia,33DG,SRB,463046291.0
Serbia,Other,SRB,15863356.0
Singapore,11,SGP,20345645.0
Singapore,21,SGP,590608.0
Singapore,31ND,SGP,25924901675.0
Singapore,33DG,SGP,12449444190.0
Singapore,Other,SGP,4808440785.0
Sint Maarten,11,SXM,62360.0
Sint Maarten,31ND,SXM,109592.0
Sint Maarten,33DG,SXM,722296.0
Sint Maarten,Other,SXM,100640970.0
Slovakia,11,SVK,3985517.0
Slovakia,21,SVK,15732.0
Slovakia,31ND,SVK,434672580.0
Slovakia,33DG,SVK,7672488733.0
Slovakia,Other,SVK,76192035.0
Slovenia,11,SVN,2539699.0
Slovenia,21,SVN,127300.0
Slovenia,31ND,SVN,5346272932.0
Slovenia,33DG,SVN,912432045.0
Slovenia,Other,SVN,31665964.0
Solomon Islands,11,SLB,643771.0
Solomon Islands,31ND,SLB,344246.0
Solomon Islands,33DG,SLB,188913.0
Solomon Islands,Other,SLB,168969.0
Spain,11,ESP,489440179.0
Spain,21,ESP,136579089.0
Spain,31ND,ESP,11049801938.0
Spain,33DG,ESP,8643423878.0
Spain,Other,ESP,959496158.0
Sri Lanka,11,LKA,70664580.0
Sri Lanka,21,LKA,275331.0
Sri Lanka,31ND,LKA,2296765196.0
Sri Lanka,33DG,LKA,623286446.0
Sri Lanka,Other,LKA,24593909.0
St Kitts and Nevis,11,KNA,259345.0
St Kitts and Nevis,31ND,KNA,1041141.0
St Kitts and Nevis,33DG,KNA,13546038.0
St Kitts and Nevis,Other,KNA,4782718.0
St Lucia,11,LCA,1122116.0
St Lucia,31ND,LCA,926131.0
