Country,usummary_code,iso3,impVal
Bosnia and Herzegovina,3121,BIH,906063.0
Bosnia and Herzegovina,313TT,BIH,1560054.0
Bosnia and Herzegovina,315AL,BIH,27427734.0
Bosnia and Herzegovina,321,BIH,1207209.0
Bosnia and Herzegovina,322,BIH,59591.0
Bosnia and Herzegovina,323,BIH,971574.0
Bosnia and Herzegovina,3251,BIH,2299488.0
Bosnia and Herzegovina,325X,BIH,4814477.0
Bosnia and Herzegovina,326,BIH,1405442.0
Bosnia and Herzegovina,327,BIH,403743.0
Bosnia and Herzegovina,3311IS,BIH,177705.0
Bosnia and Herzegovina,3313NF,BIH,254156.0
Bosnia and Herzegovina,332,BIH,70699561.0
Bosnia and Herzegovina,33311,BIH,1252972.0
Bosnia and Herzegovina,33312,BIH,635371.0
Bosnia and Herzegovina,33313,BIH,13634.0
Bosnia and Herzegovina,3332OM,BIH,13804416.0
Bosnia and Herzegovina,3341,BIH,245110.0
Bosnia and Herzegovina,3342,BIH,1178301.0
Bosnia and Herzegovina,3344,BIH,27038.0
Bosnia and Herzegovina,3345,BIH,1252055.0
Bosnia and Herzegovina,335,BIH,5976897.0
Bosnia and Herzegovina,3362BP,BIH,10473297.0
Bosnia and Herzegovina,3365AO,BIH,3154562.0
Bosnia and Herzegovina,337,BIH,12373688.0
Bosnia and Herzegovina,3391,BIH,18808.0
Bosnia and Herzegovina,3399,BIH,8241538.0
Bosnia and Herzegovina,S003,BIH,4298032.0
Botswana,3121,BWA,2500.0
Botswana,313TT,BWA,284.0
Botswana,321,BWA,7040.0
Botswana,323,BWA,23105.0
Botswana,326,BWA,6413.0
Botswana,327,BWA,14777.0
Botswana,3332OM,BWA,130170.0
Botswana,3345,BWA,4120.0
Botswana,3362BP,BWA,276119.0
Botswana,337,BWA,52078.0
Botswana,3399,BWA,402979441.0
Botswana,S003,BWA,1627627.0
Brazil,111,BRA,2387278307.0
Brazil,112,BRA,87466536.0
Brazil,113FF,BRA,243741589.0
Brazil,211,BRA,6481091614.0
Brazil,212,BRA,472998843.0
Brazil,311,BRA,4801686281.0
Brazil,3121,BRA,44893171.0
Brazil,3122,BRA,1618126.0
Brazil,313TT,BRA,47918587.0
Brazil,315AL,BRA,341378801.0
Brazil,321,BRA,1550175849.0
Brazil,322,BRA,2087064128.0
Brazil,323,BRA,14118064.0
Brazil,324,BRA,2085949071.0
Brazil,3251,BRA,1091452466.0
Brazil,3252,BRA,148067686.0
Brazil,3254,BRA,121625820.0
Brazil,325X,BRA,435740341.0
Brazil,326,BRA,529085594.0
Brazil,327,BRA,964920857.0
Brazil,3311IS,BRA,4837596462.0
Brazil,3313NF,BRA,1613169531.0
Brazil,332,BRA,804221578.0
Brazil,33311,BRA,142707397.0
Brazil,33312,BRA,1715941966.0
Brazil,33313,BRA,47013057.0
Brazil,3332OM,BRA,1011049249.0
Brazil,3341,BRA,9638687.0
Brazil,3342,BRA,83543092.0
Brazil,3344,BRA,76281707.0
Brazil,3345,BRA,94424469.0
Brazil,334X,BRA,28341980.0
Brazil,335,BRA,1147427025.0
Brazil,336111,BRA,2779745.0
Brazil,336112,BRA,414561.0
Brazil,33612,BRA,9917957.0
Brazil,3362BP,BRA,622440889.0
Brazil,3364,BRA,2088118864.0
Brazil,3365AO,BRA,107412376.0
Brazil,337,BRA,242309002.0
Brazil,3391,BRA,368071334.0
Brazil,3399,BRA,293030535.0
Brazil,S003,BRA,3032200427.0
British Indian Ocean Territories,112,IOT,110377.0
British Indian Ocean Territories,315AL,IOT,680.0
British Indian Ocean Territories,322,IOT,14422.0
British Indian Ocean Territories,326,IOT,1323.0
British Indian Ocean Territories,332,IOT,8503.0
British Indian Ocean Territories,3332OM,IOT,2204.0
British Indian Ocean Territories,3344,IOT,4920.0
British Indian Ocean Territories,335,IOT,267647.0
British Indian Ocean Territories,3362BP,IOT,7569.0
British Indian Ocean Territories,3364,IOT,2876.0
British Indian Ocean Territories,3399,IOT,35519.0
British Indian Ocean Territories,S003,IOT,6451.0
British Virgin Islands,3121,VGB,5540.0
British Virgin Islands,315AL,VGB,93848.0
British Virgin Islands,322,VGB,12582.0
British Virgin Islands,323,VGB,6468.0
British Virgin Islands,326,VGB,14656.0
British Virgin Islands,332,VGB,6360.0
British Virgin Islands,33312,VGB,53105.0
