Country,summary_code,iso3,impVal
Bhutan,335,BTN,300.0
Bhutan,337,BTN,2200.0
Bhutan,339,BTN,26071.0
Bhutan,Other,BTN,168464.0
Bolivia,111CA,BOL,84331470.0
Bolivia,212,BOL,39436620.0
Bolivia,311FT,BOL,18974278.0
Bolivia,313TT,BOL,75949.0
Bolivia,315AL,BOL,5772686.0
Bolivia,321,BOL,16530437.0
Bolivia,322,BOL,181592.0
Bolivia,323,BOL,49917.0
Bolivia,325,BOL,17555683.0
Bolivia,326,BOL,11163.0
Bolivia,327,BOL,39080.0
Bolivia,331,BOL,268901235.0
Bolivia,332,BOL,116546.0
Bolivia,333,BOL,526995.0
Bolivia,334,BOL,2817987.0
Bolivia,335,BOL,229379.0
Bolivia,3361MV,BOL,797687.0
Bolivia,3364OT,BOL,21640.0
Bolivia,337,BOL,7367350.0
Bolivia,339,BOL,7523176.0
Bolivia,Other,BOL,32885825.0
Bosnia and Herzegovina,111CA,BIH,9468.0
Bosnia and Herzegovina,212,BIH,635645.0
Bosnia and Herzegovina,311FT,BIH,4218018.0
Bosnia and Herzegovina,313TT,BIH,1560054.0
Bosnia and Herzegovina,315AL,BIH,27427734.0
Bosnia and Herzegovina,321,BIH,1207209.0
Bosnia and Herzegovina,322,BIH,59591.0
Bosnia and Herzegovina,323,BIH,971574.0
Bosnia and Herzegovina,325,BIH,7113965.0
Bosnia and Herzegovina,326,BIH,1405442.0
Bosnia and Herzegovina,327,BIH,403743.0
Bosnia and Herzegovina,331,BIH,431861.0
Bosnia and Herzegovina,332,BIH,70699561.0
Bosnia and Herzegovina,333,BIH,15706393.0
Bosnia and Herzegovina,334,BIH,2702504.0
Bosnia and Herzegovina,335,BIH,5976897.0
Bosnia and Herzegovina,3361MV,BIH,10473297.0
Bosnia and Herzegovina,3364OT,BIH,3154562.0
Bosnia and Herzegovina,337,BIH,12373688.0
Bosnia and Herzegovina,339,BIH,8260346.0
Bosnia and Herzegovina,Other,BIH,4298032.0
Brazil,111CA,BRA,2474744843.0
Brazil,113FF,BRA,243741589.0
Brazil,211,BRA,6481091614.0
Brazil,212,BRA,472998843.0
Brazil,311FT,BRA,4848197578.0
Brazil,313TT,BRA,47918587.0
Brazil,315AL,BRA,341378801.0
Brazil,321,BRA,1550175849.0
Brazil,322,BRA,2087064128.0
Brazil,323,BRA,14118064.0
Brazil,324,BRA,2085949071.0
Brazil,325,BRA,1796886313.0
Brazil,326,BRA,529085594.0
Brazil,327,BRA,964920857.0
Brazil,331,BRA,6450765993.0
Brazil,332,BRA,804221578.0
Brazil,333,BRA,2916711669.0
Brazil,334,BRA,292229935.0
Brazil,335,BRA,1147427025.0
Brazil,3361MV,BRA,635553152.0
Brazil,3364OT,BRA,2195531240.0
Brazil,337,BRA,242309002.0
Brazil,339,BRA,661101869.0
Brazil,Other,BRA,3032200427.0
British Virgin Islands,311FT,VGB,5540.0
British Virgin Islands,315AL,VGB,93848.0
British Virgin Islands,322,VGB,12582.0
British Virgin Islands,323,VGB,6468.0
British Virgin Islands,326,VGB,14656.0
British Virgin Islands,332,VGB,6360.0
British Virgin Islands,333,VGB,83011.0
British Virgin Islands,334,VGB,606039.0
British Virgin Islands,335,VGB,99826.0
British Virgin Islands,337,VGB,17520.0
British Virgin Islands,339,VGB,1388093.0
British Virgin Islands,Other,VGB,57912864.0
Brunei,311FT,BRN,52074.0
Brunei,313TT,BRN,23324.0
Brunei,315AL,BRN,4342589.0
Brunei,321,BRN,296881.0
Brunei,322,BRN,82934.0
Brunei,324,BRN,42489714.0
Brunei,325,BRN,174177948.0
Brunei,326,BRN,1814.0
Brunei,327,BRN,3030.0
Brunei,331,BRN,3684065.0
Brunei,332,BRN,1816927.0
Brunei,333,BRN,1564270.0
Brunei,334,BRN,152406.0
Brunei,335,BRN,61202.0
Brunei,3364OT,BRN,9378.0
Brunei,337,BRN,1640.0
Brunei,339,BRN,31491.0
Brunei,Other,BRN,10057619.0
Bulgaria,111CA,BGR,75056041.0
Bulgaria,113FF,BGR,998690.0
Bulgaria,212,BGR,629059.0
Bulgaria,311FT,BGR,76103776.0
Bulgaria,313TT,BGR,7996804.0
Bulgaria,315AL,BGR,81812440.0
Bulgaria,321,BGR,1840504.0
Bulgaria,322,BGR,3919546.0
Bulgaria,323,BGR,2050686.0
Bulgaria,324,BGR,88493990.0
Bulgaria,325,BGR,137732431.0
Bulgaria,326,BGR,23380710.0
Bulgaria,327,BGR,26644547.0
Bulgaria,331,BGR,200178011.0
Bulgaria,332,BGR,59063119.0
Bulgaria,333,BGR,151183408.0
Bulgaria,334,BGR,216911662.0
Bulgaria,335,BGR,95763441.0
Bulgaria,3361MV,BGR,35154332.0
Bulgaria,3364OT,BGR,19415965.0
Bulgaria,337,BGR,12616032.0
Bulgaria,339,BGR,134502734.0
Bulgaria,Other,BGR,38686227.0
Burma,111CA,MMR,6776944.0
Burma,113FF,MMR,38316450.0
Burma,311FT,MMR,2686143.0
Burma,313TT,MMR,18808607.0
Burma,315AL,MMR,440024680.0
Burma,321,MMR,1834730.0
Burma,322,MMR,366549.0
Burma,325,MMR,1417273.0
Burma,326,MMR,22871155.0
Burma,327,MMR,181136.0
Burma,331,MMR,2188116.0
Burma,332,MMR,1729879.0
Burma,333,MMR,886436.0
Burma,334,MMR,65976761.0
Burma,335,MMR,5625574.0
Burma,3361MV,MMR,898115.0
Burma,3364OT,MMR,835877.0
Burma,337,MMR,4887841.0
Burma,339,MMR,39101611.0
Burma,Other,MMR,1047068.0
Cambodia,111CA,KHM,2940608.0
Cambodia,113FF,KHM,3377580.0
Cambodia,212,KHM,67412.0
Cambodia,311FT,KHM,135101620.0
Cambodia,313TT,KHM,289123492.0
Cambodia,315AL,KHM,6526512041.0
Cambodia,321,KHM,377512534.0
Cambodia,322,KHM,68470213.0
Cambodia,323,KHM,39750698.0
Cambodia,325,KHM,30147326.0
Cambodia,326,KHM,920962410.0
Cambodia,327,KHM,36592939.0
Cambodia,331,KHM,10426698.0
Cambodia,332,KHM,77862169.0
Cambodia,333,KHM,41422438.0
Cambodia,334,KHM,137973910.0
Cambodia,335,KHM,2293180693.0
Cambodia,3361MV,KHM,7996023.0
Cambodia,3364OT,KHM,217342308.0
Cambodia,337,KHM,869151487.0
Cambodia,339,KHM,508415297.0
