country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Nepal,NPL,0.7312820512820513,2.196084084782418e-05,0.9097435897435897,1.2089632992094056e-10,0.6054700854700855,0.0010471916713445095
Nauru,NRU,0.37894736842105264,0.10959964442893559,0.4280701754385965,0.0674881686246779,0.15263157894736842,0.5327517272519824
New Zealand,NZL,0.6453909440799345,1.214738983916504e-05,0.639172253344307,1.5650511053836278e-05,0.397087863304143,0.013568691413375007
Oman,OMN,0.4794437026672241,0.004117190019349599,0.5819573566214035,0.0003058412920707997,0.34250345479032485,0.04738396408291329
Pakistan,PAK,0.6711885134536981,2.9164215507129406e-06,0.7562532614969795,2.5791749164924117e-08,0.5241951919552411,0.000614295289795531
Panama,PAN,0.6108131918245638,4.6452172378387235e-05,0.6775116344360821,2.981864303792158e-06,0.4035241423144897,0.011996661996593558
Pitcairn,PCN,,,,,,
Peru,PER,0.6334116136172719,1.1501259779888689e-05,0.6988029179638056,5.308519518655246e-07,0.4244955887377272,0.006332365887753033
Philippines,PHL,0.6955237115293144,1.2543432470976113e-06,0.8420189568988594,3.475822075216499e-11,0.23432199313678395,0.1567732378067642
Palau,PLW,0.28571428571428575,0.5345092286010406,0.28571428571428575,0.5345092286010406,0.4642857142857144,0.2939341076002517
Papua New Guinea,PNG,0.5578947368421052,0.013059921195492317,0.5789473684210525,0.009396104149244383,0.2631578947368421,0.2763588931314962
Poland,POL,0.5955889909638773,5.0281718224609955e-05,0.6289204650402714,1.3844006959065448e-05,0.3279211998783151,0.03885709084857352
Portugal,PRT,0.682965818979536,1.2010621605485104e-06,0.7793430665622951,3.135178016322175e-09,0.4903801572307373,0.001316834868152323
Paraguay,PRY,0.47338709677419355,0.007149697852314932,0.6236386146770134,0.0001780611149399646,0.34314516129032263,0.05877452025163122
French Polynesia,PYF,0.2359945074052966,0.23599054918173593,0.47778965600166773,0.01171844300817952,-0.035109144051240763,0.8619807939037886
Qatar,QAT,0.3197438132394486,0.09086572280528121,0.5229177569546392,0.0036088010058572826,0.2689986471937426,0.1582308419256081
Reunion,REU,0.40343355222364174,0.1083133225569783,0.7099940022416067,0.0014073640168974744,0.10177806940596434,0.6975057342204392
Romania,ROU,0.5351285795047133,0.00044806602023860235,0.6934684433223506,9.87930131322239e-07,0.21563069889236455,0.18737900653576245
Russia,RUS,0.2651222651222651,0.11812158182510558,0.607374993213435,8.559566336904356e-05,0.07747747747747748,0.6533341602671354
Rwanda,RWA,0.5211744776962168,0.012873149549987785,0.6070016939582158,0.002739216116822331,0.2173913043478261,0.3311374194883423
Saudi Arabia,SAU,0.2759111371778759,0.09359365204341608,0.48450023591120306,0.0020529290425360023,0.19995622674493427,0.22872921665826365
Sudan,SDN,,,,,,
Senegal,SEN,0.674303309564475,0.00015848137316243355,0.8062916855745601,6.598656292657305e-07,0.4684561531964153,0.015789357679457366
Singapore,SGP,0.5272322440523167,0.0005633456609569231,0.6965064183953166,8.4602369758532e-07,0.12937841933541872,0.43246060861310687
St. Helena,SHN,0.02857142857142857,0.9227613765698746,0.3758241758241759,0.185410028697123,-0.2923076923076923,0.3105263203858819
Svalbard and Jan Mayen Islands,SJM,-0.09999999999999999,0.8728885715695383,0.3,0.6238376647810728,-0.6,0.28475697986529375
Solomon Islands,SLB,0.8601398601398602,0.0003316683391269209,0.8671328671328673,0.00025981184986148103,0.4265734265734266,0.16669998762494495
Sierra Leone,SLE,0.31330645161290327,0.08611735202782235,0.5720048872005208,0.0007739960228693299,0.10040322580645164,0.5909843569018906
El Salvador,SLV,0.6779701400012716,4.023544840097649e-06,0.7379544717580745,1.8693845592059523e-07,0.5527626430020861,0.00038852472475107427
San Marino,SMR,0.6321739130434781,0.0009191401974675445,0.6318765098276068,0.0009258546940376667,0.37652173913043474,0.06975342004393108
Somalia,SOM,0.7132352941176472,0.0013072517803378431,0.752450980392157,0.0004921108243565306,0.411764705882353,0.10054017943009602
Serbia,SRB,0.6687588717760378,3.2638320389930546e-06,0.7627342749859732,1.6639963555625122e-08,0.4583923965186041,0.003338272922781593
South Sudan,SSD,0.08571428571428573,0.8717434402332361,0.08571428571428573,0.8717434402332361,-0.7714285714285715,0.07239650145772594
Sao Tome and Principe,STP,0.16666666666666669,0.5226031535880373,0.24019607843137256,0.3530886590520008,-0.28186274509803927,0.27305989737995473
Suriname,SUR,0.4909090909090909,0.023839688371382985,0.7207792207792209,0.00022773372444622483,0.16103896103896104,0.48557914428522886
Slovakia,SVK,0.5256648916562229,0.0007010064613501929,0.6602803704403877,6.467422286401958e-06,0.13385137674277758,0.4230349679099885
Slovenia,SVN,0.5361631642332547,0.0006252536423972761,0.5910331960953471,0.00011732630898770414,0.3485890541454597,0.03447805642802351
Sweden,SWE,0.3705303082769284,0.018593025828665625,0.4413147485352755,0.00436427639793251,0.11975599629213794,0.46170557495205355
Eswatini,SWZ,0.4981684981684982,0.00818107507955088,0.6377652341134082,0.00034547988471538975,0.22039072039072038,0.26931261563477565
Sint Maarten,SXM,0.4464285714285714,0.09529321315352625,0.4678571428571427,0.0786302311543806,0.25357142857142856,0.3618161038158896
Seychelles,SYC,0.20129870129870128,0.3815806896030638,0.3025974025974026,0.18244109138130263,-0.23376623376623373,0.3077875466640501
Syria,SYR,0.5252837977296182,0.02518359155961345,0.48813209494324045,0.03985953090099972,0.4117647058823529,0.08953914742899156
Turks and Caicos Islands,TCA,0.3498452012383901,0.1546923218138582,0.4262125902992776,0.07778293683965698,0.08978328173374613,0.7231227825767574
Chad,TCD,0.38333333333333336,0.30849527238037144,0.6166666666666666,0.07692880993776309,-0.16666666666666669,0.668231040071504
Togo,TGO,0.7735294117647058,0.0004393556517117217,0.7617647058823529,0.000605342838070589,0.6529411764705881,0.006102046679077
