country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
San Marino,SMR,0.7717391304347826,1.6138517925896886e-05,0.790513833992095,7.168383854427536e-06,0.49703557312252966,0.01582758646448302
Somalia,SOM,0.7132352941176472,0.0013072517803378431,0.752450980392157,0.0004921108243565306,0.411764705882353,0.10054017943009602
Serbia,SRB,0.7261683439806452,2.4672311609540296e-07,0.8404290449777506,4.1053437332596545e-11,0.5024625270859295,0.0013058067001762855
South Sudan,SSD,0.08571428571428573,0.8717434402332361,0.08571428571428573,0.8717434402332361,-0.7714285714285715,0.07239650145772594
Sao Tome and Principe,STP,0.16666666666666669,0.5226031535880373,0.24019607843137256,0.3530886590520008,-0.28186274509803927,0.27305989737995473
Suriname,SUR,0.4909090909090909,0.023839688371382985,0.7207792207792209,0.00022773372444622483,0.16103896103896104,0.48557914428522886
Slovakia,SVK,0.5349774871783383,0.0006462663443657502,0.680578629522088,3.573592095438267e-06,0.13113588227376818,0.4391435730784342
Slovenia,SVN,0.592945436748662,0.00013850329060296717,0.6637487346669781,1.019920965836048e-05,0.3939238029637225,0.017447269627279355
Sweden,SWE,0.40121524130303055,0.011359997082932456,0.476354491441054,0.00217288589781509,0.13569621992581046,0.4101264110530728
Eswatini,SWZ,0.4981684981684982,0.00818107507955088,0.6377652341134082,0.00034547988471538975,0.22039072039072038,0.26931261563477565
Sint Maarten,SXM,0.4464285714285714,0.09529321315352625,0.4678571428571427,0.0786302311543806,0.25357142857142856,0.3618161038158896
Seychelles,SYC,0.20129870129870128,0.3815806896030638,0.3025974025974026,0.18244109138130263,-0.23376623376623373,0.3077875466640501
Syria,SYR,0.5147058823529412,0.03450769883204255,0.4754901960784314,0.05372273084018872,0.3872549019607844,0.12460639350840542
Turks and Caicos Islands,TCA,0.3498452012383901,0.1546923218138582,0.4262125902992776,0.07778293683965698,0.08978328173374613,0.7231227825767574
Chad,TCD,0.38333333333333336,0.30849527238037144,0.6166666666666666,0.07692880993776309,-0.16666666666666669,0.668231040071504
Togo,TGO,0.8857142857142855,1.1199821851208484e-05,0.907142857142857,3.0633105354938657e-06,0.7535714285714286,0.001177583023488826
Thailand,THA,0.5997975452392352,5.448161390062068e-05,0.7322532584205487,1.1702508155914289e-07,0.16496204646204865,0.31558746645543884
Tajikistan,TJK,0.6978021978021978,0.008000717411226549,0.7692307692307693,0.0021122295993498776,0.3626373626373627,0.22331572029248162
Tokelau,TKL,,,,,,
Turkmenistan,TKM,0.35664335664335667,0.25513775175895725,0.5244755244755246,0.08001937592027475,0.02097902097902098,0.9484022252365223
Timor-Leste,TLS,0.7999999999999999,0.0003422698330356917,0.7428571428571428,0.00150948887823503,0.47142857142857136,0.07607042915033121
Tonga,TON,0.5744360902255639,0.008072760656054091,0.7744360902255639,6.119579516446196e-05,0.09022556390977443,0.7052130308607131
Trinidad and Tobago,TTO,0.32509279441022465,0.056708634626267115,0.6794620608544185,7.179062774028814e-06,0.23012816079965495,0.18353679683669466
Tunisia,TUN,0.5189090090780297,0.0016644210191532676,0.7248968701787196,1.2443525654871626e-06,0.24386889825928607,0.16456300366575938
Türkiye,TUR,0.5016424766312518,0.0009747688271572669,0.5870483987518205,6.840676738094389e-05,0.3195683129896001,0.04442165389282071
Tuvalu,TUV,0.6904761904761906,0.057990318164572716,0.7380952380952381,0.03655276105286081,0.5952380952380953,0.11952980613879259
Taiwan,TWN,0.583898809024047,9.533734372502819e-05,0.7167595855484227,2.861107892600597e-07,0.22865825715856716,0.16147144622557028
Tanzania,TZA,0.6900000000000001,0.00013532580043195636,0.7876923076923077,2.960639883355387e-06,0.4753846153846154,0.016320582719677446
Uganda,UGA,0.42574473717909644,0.03805539188072651,0.6570993849618127,0.0004858216381874581,0.2143944386407503,0.31441326618263105
