Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Australia,4850.0,8536304000,85,8536304000,335314,335314,direct_2022
Australia,332642.0,8536308000,85,8536308000,335931,335931,direct_2022
French Polynesia,139221.0,8536308000,85,8536308000,335931,335931,direct_2022
New Zealand,139831.0,8536308000,85,8536308000,335931,335931,direct_2022
Australia,2168.0,8536410020,85,8536410020,335314,335314,direct_2022
Australia,88522.0,8536410030,85,8536410030,335314,335314,direct_2022
Australia,193401.0,8536410045,85,8536410045,335314,335314,direct_2022
Australia,337189.0,8536410050,85,8536410050,335314,335314,direct_2022
Australia,90404.0,8536410060,85,8536410060,335314,335314,direct_2022
French Polynesia,8316.0,8536410060,85,8536410060,335314,335314,direct_2022
New Zealand,26539.0,8536410060,85,8536410060,335314,335314,direct_2022
Australia,10378.0,8536490050,85,8536490050,335314,335314,direct_2022
Australia,331526.0,8536490065,85,8536490065,335314,335314,direct_2022
New Zealand,4555.0,8536490065,85,8536490065,335314,335314,direct_2022
Australia,37411.0,8536490080,85,8536490080,335314,335314,direct_2022
New Zealand,6404.0,8536490080,85,8536490080,335314,335314,direct_2022
Australia,2860124.0,8536504000,85,8536504000,335314,335314,direct_2022
New Zealand,878412.0,8536504000,85,8536504000,335314,335314,direct_2022
Australia,142275.0,8536507000,85,8536507000,335931,335931,direct_2022
New Zealand,14421.0,8536509020,85,8536509020,335931,335931,direct_2022
Australia,40293.0,8536509025,85,8536509025,335931,335931,direct_2022
New Zealand,1310648.0,8536509025,85,8536509025,335931,335931,direct_2022
Marshall Islands,10368.0,8536509031,85,8536509031,335931,335931,direct_2022
New Zealand,4270.0,8536509031,85,8536509031,335931,335931,direct_2022
Australia,61130.0,8536509033,85,8536509033,335931,335931,direct_2022
New Zealand,5477.0,8536509033,85,8536509033,335931,335931,direct_2022
Australia,229968.0,8536509035,85,8536509035,335931,335931,direct_2022
New Zealand,25769.0,8536509035,85,8536509035,335931,335931,direct_2022
Australia,17520.0,8536509040,85,8536509040,335931,335931,direct_2022
Australia,9176.0,8536509050,85,8536509050,335931,335931,direct_2022
Niue,28337.0,8536509055,85,8536509055,335314,335314,direct_2022
Australia,654893.0,8536509065,85,8536509065,335931,335931,direct_2022
