Country,iso3,HS_Section,usummary_code,impVal,bea_total,weight
Armenia,ARM,7,322,18196.0,95825.0,0.18988781633185495
Armenia,ARM,10,322,77629.0,95825.0,0.8101121836681451
Armenia,ARM,10,323,18231.0,18231.0,1.0
Armenia,ARM,6,3251,635914.0,635914.0,1.0
Armenia,ARM,6,3254,4500.0,4500.0,1.0
Armenia,ARM,6,325X,362193.0,362193.0,1.0
Armenia,ARM,7,326,269035.0,269035.0,1.0
Armenia,ARM,6,327,2440.0,80424.0,0.03033920222819059
Armenia,ARM,13,327,77984.0,80424.0,0.9696607977718094
Armenia,ARM,15,3313NF,2160611.0,2160611.0,1.0
Armenia,ARM,15,332,205431.0,205431.0,1.0
Armenia,ARM,16,33311,4300.0,20955.0,0.20520162252445717
Armenia,ARM,17,33311,14647.0,20955.0,0.6989739918873777
Armenia,ARM,21,33311,2008.0,20955.0,0.09582438558816511
Armenia,ARM,16,3332OM,290898.0,350030.0,0.8310659086364026
Armenia,ARM,18,3332OM,55132.0,350030.0,0.1575064994429049
Armenia,ARM,20,3332OM,4000.0,350030.0,0.011427591920692513
Armenia,ARM,16,3341,30613.0,30613.0,1.0
Armenia,ARM,16,3342,24639.0,24639.0,1.0
Armenia,ARM,16,3344,344206.0,344206.0,1.0
Armenia,ARM,18,3345,211802.0,211802.0,1.0
Armenia,ARM,16,334X,6559.0,6559.0,1.0
Armenia,ARM,15,335,8100.0,232307.0,0.03486765357910007
Armenia,ARM,16,335,224207.0,232307.0,0.9651323464209
Armenia,ARM,16,3362BP,14029.0,14029.0,1.0
Armenia,ARM,20,337,124863.0,124863.0,1.0
Armenia,ARM,11,3391,1180.0,1674062.0,0.000704872340450951
Armenia,ARM,18,3391,1672882.0,1674062.0,0.9992951276595491
Armenia,ARM,6,3399,120000.0,83157422.0,0.001443046178127071
Armenia,ARM,7,3399,4623.0,83157422.0,5.5593354012345406e-05
Armenia,ARM,12,3399,6550.0,83157422.0,7.876627055610261e-05
Armenia,ARM,14,3399,82070120.0,83157422.0,0.9869247750369173
Armenia,ARM,18,3399,96035.0,83157422.0,0.001154857830970277
Armenia,ARM,20,3399,860094.0,83157422.0,0.010342961329416873
Armenia,ARM,21,S003,3021911.0,3021911.0,1.0
Aruba,ABW,20,313TT,300.0,300.0,1.0
Aruba,ABW,8,315AL,6097.0,6886.0,0.8854196921289573
Aruba,ABW,11,315AL,789.0,6886.0,0.11458030787104269
Aruba,ABW,9,321,4000.0,4000.0,1.0
Aruba,ABW,10,323,18088.0,18088.0,1.0
Aruba,ABW,6,325X,1121496.0,1121496.0,1.0
Aruba,ABW,7,326,4952.0,4952.0,1.0
Aruba,ABW,13,327,47460.0,47460.0,1.0
Aruba,ABW,15,332,21183.0,21183.0,1.0
Aruba,ABW,16,3332OM,22363.0,22363.0,1.0
Aruba,ABW,16,3341,47171.0,47171.0,1.0
Aruba,ABW,16,3342,15739.0,15739.0,1.0
Aruba,ABW,16,3345,20779.0,260437.0,0.07978513037702016
Aruba,ABW,18,3345,239658.0,260437.0,0.9202148696229798
Aruba,ABW,16,335,6016.0,6016.0,1.0
Aruba,ABW,16,3362BP,62618.0,62618.0,1.0
Aruba,ABW,17,3365AO,4300.0,4300.0,1.0
Aruba,ABW,20,337,2775.0,2775.0,1.0
Aruba,ABW,14,3399,111990.0,137099.0,0.8168549734133728
Aruba,ABW,18,3399,19425.0,137099.0,0.1416859349812909
Aruba,ABW,20,3399,5684.0,137099.0,0.04145909160533629
Aruba,ABW,7,S003,16648.0,8921785.0,0.0018659943049513074
Aruba,ABW,14,S003,576954.0,8921785.0,0.06466800085408918
Aruba,ABW,15,S003,82285.0,8921785.0,0.00922293016475963
Aruba,ABW,17,S003,44992.0,8921785.0,0.005042937035582005
Aruba,ABW,21,S003,8200906.0,8921785.0,0.9192001376406179
Australia,AUS,2,111,94930580.0,94933219.0,0.9999722015114646
Australia,AUS,11,111,2639.0,94933219.0,2.7798488535398764e-05
Australia,AUS,1,112,41115083.0,41165316.0,0.9987797251453141
Australia,AUS,11,112,50233.0,41165316.0,0.0012202748546859205
Australia,AUS,1,113FF,100303178.0,112244798.0,0.8936109270738765
Australia,AUS,2,113FF,10710121.0,112244798.0,0.09541752661000824
Australia,AUS,3,113FF,332701.0,112244798.0,0.002964066094181042
Australia,AUS,7,113FF,4210.0,112244798.0,3.750730612923371e-05
Australia,AUS,9,113FF,68148.0,112244798.0,0.0006071372679560615
Australia,AUS,14,113FF,826440.0,112244798.0,0.00736283564784891
Australia,AUS,5,212,613702879.0,613702879.0,1.0
Australia,AUS,1,311,4148853350.0,5010273092.0,0.8280693035724049
Australia,AUS,2,311,208081808.0,5010273092.0,0.04153103117916831
Australia,AUS,3,311,281825829.0,5010273092.0,0.05624959434845912
Australia,AUS,4,311,282738717.0,5010273092.0,0.05643179759032584
Australia,AUS,6,311,88206400.0,5010273092.0,0.017605108220715725
Australia,AUS,7,311,459927.0,5010273092.0,9.179679262082028e-05
Australia,AUS,8,311,107061.0,5010273092.0,2.1368296305234613e-05
Australia,AUS,4,3121,274902570.0,274902570.0,1.0
Australia,AUS,3,313TT,11653.0,30223248.0,0.00038556411938253627
Australia,AUS,7,313TT,43607.0,30223248.0,0.0014428297051329493
Australia,AUS,8,313TT,12943.0,30223248.0,0.0004282464942219314
Australia,AUS,11,313TT,29589714.0,30223248.0,0.9790381894096889
Australia,AUS,12,313TT,106885.0,30223248.0,0.0035365159958982567
Australia,AUS,13,313TT,22354.0,30223248.0,0.0007396293078758444
Australia,AUS,17,313TT,4064.0,30223248.0,0.00013446602430023405
Australia,AUS,20,313TT,432028.0,30223248.0,0.014294558943499389
Australia,AUS,7,315AL,60912.0,27296633.0,0.002231484007569725
Australia,AUS,8,315AL,1970234.0,27296633.0,0.07217864562270372
Australia,AUS,9,315AL,9633.0,27296633.0,0.0003529006672727732
Australia,AUS,11,315AL,15634964.0,27296633.0,0.5727799468894204
Australia,AUS,12,315AL,9389824.0,27296633.0,0.3439920227524032
Australia,AUS,18,315AL,9804.0,27296633.0,0.0003591651761592721
Australia,AUS,20,315AL,221262.0,27296633.0,0.008105834884470916
Australia,AUS,9,321,9034392.0,9244694.0,0.9772515996743646
Australia,AUS,20,321,210302.0,9244694.0,0.02274840032563544
Australia,AUS,7,322,991067.0,72425989.0,0.013683858704366466
Australia,AUS,10,322,71398552.0,72425989.0,0.9858139734895439
Australia,AUS,20,322,36370.0,72425989.0,0.0005021678060896068
Australia,AUS,7,323,2596.0,11762459.0,0.0002207021508002706
Australia,AUS,10,323,11020138.0,11762459.0,0.9368906620630941
Australia,AUS,16,323,3539.0,11762459.0,0.00030087246212717934
Australia,AUS,20,323,736186.0,11762459.0,0.06258776332397843
Australia,AUS,5,324,13405539.0,13414822.0,0.9993080042359116
