Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Bahrain,BHR,334220,3375.0,Asia,RoWorld,RoAsia,2.8520672534789136e-08,2.2939326362640947e-06,118335217933.0,1471272498.0
Bahrain,BHR,334300,2778.0,Asia,RoWorld,RoAsia,7.071306350820149e-08,1.7504257463254906e-05,39285527485.0,158704247.0
Bahrain,BHR,334510,9990.0,Asia,RoWorld,RoAsia,4.7200578231444314e-07,3.960672110214415e-06,21164994952.0,2522299176.0
Bahrain,BHR,334512,45000.0,Asia,RoWorld,RoAsia,2.8125456493737304e-05,0.003069553629603921,1599974031.0,14660112.0
Bahrain,BHR,334513,23364.0,Asia,RoWorld,RoAsia,2.6264949977994696e-06,0.00013387300664717525,8895505234.0,174523607.0
Bahrain,BHR,334514,24953.0,Asia,RoWorld,RoAsia,9.75112642733852e-06,0.0002873984570274463,2558986409.0,86823709.0
Bahrain,BHR,334516,21895.0,Asia,RoWorld,RoAsia,2.6356257027402548e-06,0.00012545102493974398,8307325269.0,174530260.0
Bahrain,BHR,334517,77418.0,Asia,RoWorld,RoAsia,1.700316863045592e-05,0.00044331775023359534,4553151338.0,174633206.0
Bahrain,BHR,33451A,1311950.0,Asia,RoWorld,RoAsia,0.00013180868901100805,0.015275396436677727,9953440929.0,85886478.0
Bahrain,BHR,335313,71802.0,Asia,RoWorld,RoAsia,3.36550307599484e-06,7.686475315466667e-05,21334700453.0,934134269.0
Bahrain,BHR,335999,40000.0,Asia,RoWorld,RoAsia,1.1763436799543078e-06,0.0001994443400907336,34003668045.0,200557208.0
Bahrain,BHR,336212,33000.0,Asia,RoWorld,RoAsia,9.544980353591523e-06,0.002942471210371266,3457314607.0,11215063.0
Bahrain,BHR,336310,54816.0,Asia,RoWorld,RoAsia,2.6561006892093007e-06,0.00020477514295147418,20637771837.0,267688740.0
Bahrain,BHR,336320,3613.0,Asia,RoWorld,RoAsia,1.3411461483343623e-07,1.6963134987316275e-06,26939644158.0,2129912898.0
Bahrain,BHR,3363A0,28800.0,Asia,RoWorld,RoAsia,9.57591810449803e-07,9.762227393189707e-05,30075445180.0,295014640.0
Bahrain,BHR,336413,116500.0,Asia,RoWorld,RoAsia,7.395432249524193e-06,0.00017558213465494884,15752966976.0,663507140.0
Bahrain,BHR,337110,5490.0,Asia,RoWorld,RoAsia,2.4936287003189635e-06,0.00038577923575938813,2201610849.0,14230937.0
