Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Austria,AUT,33313,100947864.0,Europe,Europe,Europe,0.03169679544890928,0.07838734553143889,3184797156.0,1287808170.0
Austria,AUT,3332OM,3014116404.0,Europe,Europe,Europe,0.015119883541594372,0.044476316972739675,199347858448.0,67769019765.0
Austria,AUT,3341,58920039.0,Europe,Europe,Europe,0.000382613272930365,0.01505132445362557,153993714198.0,3914608258.0
Austria,AUT,3342,60398017.0,Europe,Europe,Europe,0.000497781238393599,0.014581360475671415,121334458476.0,4142138664.0
Austria,AUT,3344,436355986.0,Europe,Europe,Europe,0.0033192980844968293,0.04185041751066357,131460319288.0,10426562313.0
Austria,AUT,3345,381923980.0,Europe,Europe,Europe,0.005133268958235344,0.011896670405885693,74401708367.0,32103434572.0
Austria,AUT,334X,59451897.0,Europe,Europe,Europe,0.0010166291924992195,0.025630690088695077,58479431280.0,2319558966.0
Austria,AUT,335,769772222.0,Europe,Europe,Europe,0.003765620711099484,0.02775539360939951,204421071865.0,27734149003.0
Austria,AUT,336111,1789519395.0,Europe,Europe,Europe,0.008451070896824847,0.03331930956202227,211750607331.0,53708177586.0
Austria,AUT,336112,15500.0,Europe,Europe,Europe,4.6288826613871906e-07,6.803064451354797e-05,33485402707.0,227838500.0
Austria,AUT,33612,4627160.0,Europe,Europe,Europe,0.00022905591710592076,0.006984936191893266,20201006193.0,662448428.0
Austria,AUT,3362BP,1083712526.0,Europe,Europe,Europe,0.007047213763545457,0.06046255879809526,153778863869.0,17923696045.0
Austria,AUT,3364,290592454.0,Europe,Europe,Europe,0.004639919856420988,0.008629169673396195,62628765796.0,33675598580.0
Austria,AUT,3365AO,380616852.0,Europe,Europe,Europe,0.024502484986623677,0.1036032180642948,15533806151.0,3673793721.0
Austria,AUT,337,50193951.0,Europe,Europe,Europe,0.0010533754546280059,0.009686531575063067,47650579648.0,5181829080.0
Austria,AUT,3391,331263964.0,Europe,Europe,Europe,0.0057374302568157075,0.016602654939087434,57737340442.0,19952469362.0
Austria,AUT,3399,275502391.0,Europe,Europe,Europe,0.0028182520681186533,0.02189472593851344,97756476121.0,12583048163.0
Austria,AUT,S003,484917821.0,Europe,Europe,Europe,0.003288981822330961,0.00834535649782402,147437063260.0,58106303922.0
Azerbaijan,AZE,111,98105.0,Asia,Europe,RoAsia,1.8875029258238552e-06,6.573877503078908e-05,51976078372.0,1492346031.0
Azerbaijan,AZE,112,3000.0,Asia,Europe,RoAsia,2.1564547076022762e-07,1.3286578942675811e-06,13911722743.0,2257917567.0
Azerbaijan,AZE,212,5015.0,Asia,Europe,RoAsia,8.44850452201875e-07,9.37353070139893e-06,5935961787.0,535017184.0
Azerbaijan,AZE,311,3460684.0,Asia,Europe,RoAsia,2.9365668291023402e-05,0.0001496499881489565,117847956522.0,23125187264.0
