Country,iso3,summary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Aruba,ABW,315AL,6886.0,North America,RoWorld,RoWorld,5.541639065450954e-08,4.515524897858071e-07,124259265511.0,15249611409.0
Aruba,ABW,321,4000.0,North America,RoWorld,RoWorld,1.7193219151478294e-07,1.2717848210946559e-06,23264985834.0,3145186146.0
Aruba,ABW,323,18088.0,North America,RoWorld,RoWorld,2.6636067456313826e-06,0.00014574462360830525,6790792233.0,124107494.0
Aruba,ABW,325,1121496.0,North America,RoWorld,RoWorld,2.857480951702182e-06,8.516663860539318e-05,392477156963.0,13168254828.0
Aruba,ABW,326,4952.0,North America,RoWorld,RoWorld,6.443554189439103e-08,1.5246561873588313e-06,76851995877.0,3247945367.0
Aruba,ABW,327,47460.0,North America,RoWorld,RoWorld,1.5766235485219463e-06,2.2805335088739965e-05,30102303143.0,2081091982.0
Aruba,ABW,332,21183.0,North America,RoWorld,RoWorld,2.141844338349468e-07,7.049275764386361e-06,98900744656.0,3004989549.0
Aruba,ABW,333,22363.0,North America,RoWorld,RoWorld,8.919766589283742e-08,4.003460029939404e-06,250712838460.0,5585918139.0
Aruba,ABW,334,323347.0,North America,RoWorld,RoWorld,5.991573011732305e-07,2.5704467958463517e-05,539669631609.0,12579408394.0
Aruba,ABW,335,6016.0,North America,RoWorld,RoWorld,2.9429451402020706e-08,1.5166004828829216e-06,204421071865.0,3966766507.0
Aruba,ABW,3361MV,62618.0,North America,RoWorld,RoWorld,1.493693416028588e-07,1.1311045294002665e-05,419215880100.0,5536004708.0
Aruba,ABW,3364OT,4300.0,North America,RoWorld,RoWorld,5.50135428362787e-08,1.2817357052689164e-06,78162571947.0,3354825790.0
Aruba,ABW,337,2775.0,North America,RoWorld,RoWorld,5.823643742634876e-08,5.450839430156164e-06,47650579648.0,509095899.0
Aruba,ABW,339,137099.0,North America,RoWorld,RoWorld,8.81700655565637e-07,8.046735691633004e-06,155493816563.0,17037840592.0
Aruba,ABW,Other,8921785.0,North America,RoWorld,RoWorld,6.0512498029527015e-05,0.0006835723611447494,147437063260.0,13051705287.0
Australia,AUS,111CA,136098535.0,Oceania,RoAsia,RoAsia,0.0020656105181360474,0.021591661188224726,65887801115.0,6303291526.0
Australia,AUS,113FF,112244798.0,Oceania,RoAsia,RoAsia,0.006834165042700032,0.02215407571924082,16424068968.0,5066552964.0
Australia,AUS,212,613702879.0,Oceania,RoAsia,RoAsia,0.10338726916066651,0.7701501045881399,5935961787.0,796861385.0
Australia,AUS,311FT,5285175662.0,Oceania,RoAsia,RoAsia,0.03509342164545069,0.18050212729382673,150603030830.0,29280406504.0
Australia,AUS,313TT,30223248.0,Oceania,RoAsia,RoAsia,0.0008876097120081771,0.002679079812484762,34050154692.0,11281204785.0
Australia,AUS,315AL,27296633.0,Oceania,RoAsia,RoAsia,0.0002196748297822795,0.0004499477171706781,124259265511.0,60666232894.0
Australia,AUS,321,9244694.0,Oceania,RoAsia,RoAsia,0.00039736512482589116,0.0026857014609045077,23264985834.0,3442189735.0
Australia,AUS,322,72425989.0,Oceania,RoAsia,RoAsia,0.0027225545650498453,0.02186001433854897,26602217612.0,3313172072.0
Australia,AUS,323,11762459.0,Oceania,RoAsia,RoAsia,0.0017321188156574838,0.01174027263194941,6790792233.0,1001889766.0
Australia,AUS,324,13414822.0,Oceania,RoAsia,RoAsia,0.00021578131080515073,0.0011894110448513419,62168600005.0,11278541643.0
Australia,AUS,325,1721731506.0,Oceania,RoAsia,RoAsia,0.004386832393820853,0.027040518821906362,392477156963.0,63672280748.0
Australia,AUS,326,92499827.0,Oceania,RoAsia,RoAsia,0.0012036099511071128,0.004520071208504282,76851995877.0,20464241100.0
Australia,AUS,327,45317873.0,Oceania,RoAsia,RoAsia,0.0015054619835804235,0.009088167451952373,30102303143.0,4986469851.0
Australia,AUS,331,3414815800.0,Oceania,RoAsia,RoAsia,0.02551276023662673,0.1986554380703124,133847367683.0,17189641689.0
Australia,AUS,332,203732541.0,Oceania,RoAsia,RoAsia,0.0020599697374234097,0.00985902212533937,98900744656.0,20664578942.0
Australia,AUS,333,565836684.0,Oceania,RoAsia,RoAsia,0.0022569114827770435,0.012839082299274027,250712838460.0,44071427444.0
Australia,AUS,334,730412529.0,Oceania,RoAsia,RoAsia,0.0013534438223294293,0.003108223456199402,539669631609.0,234993570859.0
Australia,AUS,335,202699067.0,Oceania,RoAsia,RoAsia,0.000991576187086343,0.003860949179201632,204421071865.0,52499801886.0
Australia,AUS,3361MV,133340404.0,Oceania,RoAsia,RoAsia,0.0003180709756705612,0.0022968624960445373,419215880100.0,58053281043.0
Australia,AUS,3364OT,510574784.0,Oceania,RoAsia,RoAsia,0.006532215755978545,0.07798644517492657,78162571947.0,6546968295.0
Australia,AUS,337,26567522.0,Oceania,RoAsia,RoAsia,0.0005575487684778898,0.0013439180194157853,47650579648.0,19768707329.0
Australia,AUS,339,1462182755.0,Oceania,RoAsia,RoAsia,0.009403478461843405,0.040130809736726815,155493816563.0,36435416195.0
Australia,AUS,Other,1264208829.0,Oceania,RoAsia,RoAsia,0.008574565994783909,0.05956807806299422,147437063260.0,21222924595.0
